0.000, 0.007	0.000, -0.720
0.250, 0.046	0.250, -0.701
0.500, 0.163	0.500, -0.654
0.750, 0.272	0.750, -0.599
1.000, 0.347	1.000, -0.536
1.250, 0.414	1.250, -0.455
1.500, 0.489	1.500, -0.351
1.750, 0.561	1.750, -0.232
2.000, 0.608	2.000, -0.113
2.250, 0.626	2.250, -0.000
2.500, 0.629	2.500, 0.112
2.750, 0.621	2.750, 0.224
3.000, 0.596	3.000, 0.330
3.250, 0.557	3.250, 0.429
3.500, 0.510	3.500, 0.523
3.750, 0.456	3.750, 0.610
4.000, 0.393	4.000, 0.687
4.250, 0.327	4.250, 0.753
4.500, 0.266	4.500, 0.813
4.750, 0.211	4.750, 0.863
5.000, 0.155	5.000, 0.899
5.250, 0.099	5.250, 0.925
5.500, 0.056	5.500, 0.944
5.750, 0.029	5.750, 0.957
6.000, 0.010	6.000, 0.963
6.250, 0.021	6.250, 0.956
6.500, 0.077	6.500, 0.933
6.750, 0.144	6.750, 0.897
7.000, 0.193	7.000, 0.853
7.250, 0.226	7.250, 0.801
7.500, 0.265	7.500, 0.732
7.750, 0.313	7.750, 0.651
8.000, 0.351	8.000, 0.568
8.250, 0.372	8.250, 0.486
8.500, 0.386	8.500, 0.401
8.750, 0.402	8.750, 0.312
9.000, 0.420	9.000, 0.221
9.250, 0.445	9.250, 0.125
9.500, 0.477	9.500, 0.023
9.750, 0.506	9.750, -0.081
10.000, 0.518	10.000, -0.177
10.250, 0.515	10.250, -0.265
10.500, 0.508	10.500, -0.348
10.750, 0.495	10.750, -0.425
11.000, 0.468	11.000, -0.489
11.250, 0.427	11.250, -0.540
11.500, 0.385	11.500, -0.584
11.750, 0.343	11.750, -0.623
12.000, 0.285	12.000, -0.647
12.250, 0.194	12.250, -0.648
12.500, 0.046	12.500, -0.623
12.750, 0.150	12.750, -0.580
13.000, 0.297	13.000, -0.528
13.250, 0.377	13.250, -0.463
13.500, 0.442	13.500, -0.375
13.750, 0.505	13.750, -0.269
14.000, 0.554	14.000, -0.159
14.250, 0.587	14.250, -0.048
14.500, 0.615	14.500, 0.072
14.750, 0.635	14.750, 0.197
15.000, 0.633	15.000, 0.317
15.250, 0.610	15.250, 0.428
15.500, 0.575	15.500, 0.535
15.750, 0.529	15.750, 0.637
16.000, 0.472	16.000, 0.730
16.250, 0.412	16.250, 0.815
16.500, 0.357	16.500, 0.896
16.750, 0.302	16.750, 0.965
17.000, 0.231	17.000, 1.015
17.250, 0.144	17.250, 1.047
17.500, 0.064	17.500, 1.068
17.750, 0.009	17.750, 1.081
18.000, 0.020	18.000, 1.084
18.250, 0.035	18.250, 1.078
18.500, 0.050	18.500, 1.066
18.750, 0.070	18.750, 1.048
19.000, 0.091	19.000, 1.026
19.250, 0.122	19.250, 0.993
19.500, 0.178	19.500, 0.942
19.750, 0.246	19.750, 0.875
20.000, 0.298	20.000, 0.802
20.250, 0.327	20.250, 0.726
20.500, 0.348	20.500, 0.643
20.750, 0.374	20.750, 0.553
21.000, 0.404	21.000, 0.457
21.250, 0.441	21.250, 0.354
21.500, 0.488	21.500, 0.238
21.750, 0.532	21.750, 0.119
22.000, 0.554	22.000, 0.007
22.250, 0.554	22.250, -0.093
22.500, 0.545	22.500, -0.187
22.750, 0.532	22.750, -0.276
23.000, 0.515	23.000, -0.357
23.250, 0.499	23.250, -0.433
23.500, 0.492	23.500, -0.510
