#Data stored on SZ timesteps
#Time	Obs 5	Obs 35	Obs 37	Obs 65
#Unit	100180	1000	0	100180	1000	0	100180	1000	0	100180	1000	0
1970-12-03 00:00:00	64.11	43.313	35.666	27.505
1970-12-10 00:00:00	64.194	43.597	35.773	27.241
1970-12-17 00:00:00	64.274	43.496	35.648	27.266
1970-12-24 00:00:00	64.429	43.78	35.598	27.533
1970-12-31 00:00:00	64.544	43.526	35.676	27.268
1971-01-07 00:00:00	64.504	43.71	35.516	27.173
1971-01-14 00:00:00	64.459	43.578	35.708	27.233
1971-01-21 00:00:00	64.443	43.692	35.502	27.219
1971-01-28 00:00:00	64.484	43.727	35.733	27.303
1971-02-04 00:00:00	64.244	43.747	35.582	27.146
1971-02-11 00:00:00	64.563	43.73	35.619	27.111
1971-02-18 00:00:00	64.554	43.968	35.691	27.178
1971-02-25 00:00:00	64.712	43.839	35.715	27.107
1971-03-04 00:00:00	64.665	43.858	35.522	27.006
1971-03-11 00:00:00	64.507	43.666	35.455	27.144
1971-03-18 00:00:00	64.41	43.535	35.474	26.992
1971-03-25 00:00:00	64.487	43.656	35.402	27.031
1971-04-01 00:00:00	64.806	43.595	35.454	27.035
1971-04-08 00:00:00	64.726	43.843	35.251	26.921
1971-04-15 00:00:00	64.736	43.713	-999	27.151
1971-04-22 00:00:00	64.706	-999	-999	26.817
1971-04-29 00:00:00	64.674	-999	-999	27.004
1971-05-06 00:00:00	64.631	-999	-999	26.999
1971-05-13 00:00:00	64.551	-999	-999	26.953
1971-05-20 00:00:00	-999	-999	-999	26.855
1971-05-27 00:00:00	-999	-999	-999	26.681
1971-06-03 00:00:00	-999	-999	-999	26.693
1971-06-10 00:00:00	-999	-999	-999	26.522
1971-06-17 00:00:00	-999	-999	-999	26.624
1971-06-24 00:00:00	-999	43.158	-999	26.685
1971-07-01 00:00:00	-999	43.209	-999	26.638
1971-07-08 00:00:00	-999	42.964	-999	26.763
1971-07-15 00:00:00	-999	43.182	-999	26.548
1971-07-22 00:00:00	64.515	43.077	-999	26.547
1971-07-29 00:00:00	64.345	42.96	-999	26.509
1971-08-05 00:00:00	64.372	43.141	-999	26.764
1971-08-12 00:00:00	64.344	42.983	-999	26.667
1971-08-19 00:00:00	64.435	42.993	-999	26.752
1971-08-26 00:00:00	64.505	43.003	-999	26.602
1971-09-02 00:00:00	64.477	43.051	-999	26.61
1971-09-09 00:00:00	64.16	43.112	34.964	26.883
1971-09-16 00:00:00	64.481	42.998	35.065	26.539
1971-09-23 00:00:00	64.267	42.844	35.02	26.506
1971-09-30 00:00:00	64.098	42.707	35.095	26.734
1971-10-07 00:00:00	64.359	42.882	35.219	26.826
1971-10-14 00:00:00	64.417	42.59	35.301	26.963
1971-10-21 00:00:00	64.273	42.744	35.463	27.142
1971-10-28 00:00:00	64.626	43.029	35.314	27.01
1971-11-04 00:00:00	64.553	43.128	35.5	26.896
1971-11-11 00:00:00	64.482	42.937	35.37	26.935
1971-11-18 00:00:00	64.346	42.821	35.52	27.182
1971-11-25 00:00:00	64.67	42.846	35.381	27.12
1971-12-02 00:00:00	64.425	42.919	35.459	26.97
1971-12-09 00:00:00	64.444	43.174	35.271	26.965
1971-12-16 00:00:00	64.299	43.109	35.52	27.013
1971-12-23 00:00:00	64.452	42.912	35.38	27.178
1971-12-30 00:00:00	64.283	42.873	35.346	26.781
