Data stored on MIKE 11 timesteps
Time	Karup River at Hagebro	Karup River at Karup
Unit	100001	1800	0	100001	1800	0
1970-01-01 12:00:00	15.9493	7.08271
1970-01-02 00:00:00	15.7703	7.08713
1970-01-02 12:00:00	15.3173	6.89532
1970-01-03 00:00:00	15.2511	6.84151
1970-01-03 12:00:00	14.9187	6.71934
1970-01-04 00:00:00	14.8803	6.67007
1970-01-04 12:00:00	14.5617	6.54343
1970-01-05 00:00:00	14.5715	6.5237
1970-01-05 12:00:00	14.2774	6.41065
1970-01-06 00:00:00	14.247	6.38113
1970-01-06 12:00:00	13.9612	6.2733
1970-01-07 00:00:00	13.9386	6.25752
1970-01-07 12:00:00	13.6633	6.15148
1970-01-08 00:00:00	13.6334	6.1345
1970-01-08 12:00:00	13.373	6.0373
1970-01-09 00:00:00	13.3545	6.02254
1970-01-09 12:00:00	13.108	5.92895
1970-01-10 00:00:00	13.0963	5.91571
1970-01-10 12:00:00	12.8606	5.83053
1970-01-11 00:00:00	12.8529	5.82367
1970-01-11 12:00:00	12.6403	5.74111
1970-01-12 00:00:00	12.6531	5.73601
1970-01-12 12:00:00	12.4514	5.66225
1970-01-13 00:00:00	12.4634	5.65639
1970-01-13 12:00:00	12.2667	5.58203
1970-01-14 00:00:00	12.2701	5.58085
1970-01-14 12:00:00	12.089	5.51408
1970-01-15 00:00:00	12.1023	5.51455
1970-01-15 12:00:00	11.9303	5.44824
1970-01-16 00:00:00	11.9374	5.44778
1970-01-16 12:00:00	11.7724	5.38604
1970-01-17 00:00:00	11.792	5.39051
1970-01-17 12:00:00	11.6469	5.33638
1970-01-18 00:00:00	11.6556	5.33737
1970-01-18 12:00:00	11.5104	5.28019
1970-01-19 00:00:00	11.5043	5.27529
1970-01-19 12:00:00	11.3528	5.21497
1970-01-20 00:00:00	11.3396	5.21199
1970-01-20 12:00:00	11.1837	5.15678
1970-01-21 00:00:00	11.1793	5.15487
1970-01-21 12:00:00	11.0416	5.1014
1970-01-22 00:00:00	11.0336	5.09913
1970-01-22 12:00:00	10.8891	5.0398
1970-01-23 00:00:00	10.8789	5.0378
1970-01-23 12:00:00	10.7394	4.98224
1970-01-24 00:00:00	10.7296	4.98202
1970-01-24 12:00:00	10.5981	4.9303
1970-01-25 00:00:00	10.6	4.93072
1970-01-25 12:00:00	10.4652	4.87386
1970-01-26 00:00:00	10.4554	4.87164
1970-01-26 12:00:00	10.3323	4.82262
1970-01-27 00:00:00	10.3887	4.82647
1970-01-27 12:00:00	10.2815	4.77769
1970-01-28 00:00:00	10.2881	4.78201
1970-01-28 12:00:00	10.1784	4.73719
1970-01-29 00:00:00	10.1887	4.74411
1970-01-29 12:00:00	10.0724	4.69357
1970-01-30 00:00:00	10.0808	4.6954
1970-01-30 12:00:00	9.97901	4.65502
1970-01-31 00:00:00	9.98226	4.65596
1970-01-31 12:00:00	9.87834	4.61367
1970-02-01 00:00:00	9.87538	4.6152
1970-02-01 12:00:00	9.77754	4.57625
1970-02-02 00:00:00	9.76998	4.57674
1970-02-02 12:00:00	9.66811	4.53211
1970-02-03 00:00:00	9.66588	4.53088
1970-02-03 12:00:00	9.57158	4.49403
1970-02-04 00:00:00	9.68381	4.49728
1970-02-04 12:00:00	9.61896	4.46093
1970-02-05 00:00:00	9.69262	4.47176
1970-02-05 12:00:00	9.63816	4.44838
1970-02-06 00:00:00	9.6523	4.46843
1970-02-06 12:00:00	9.57255	4.43758
1970-02-07 00:00:00	9.56186	4.45227
1970-02-07 12:00:00	9.4741	4.41519
1970-02-08 00:00:00	9.45354	4.4174
1970-02-08 12:00:00	9.37453	4.38894
1970-02-09 00:00:00	9.47061	4.39781
1970-02-09 12:00:00	9.41957	4.3749
1970-02-10 00:00:00	9.45	4.39692
1970-02-10 12:00:00	9.38188	4.36962
1970-02-11 00:00:00	9.44652	4.38608
1970-02-11 12:00:00	9.39872	4.36425
1970-02-12 00:00:00	9.38524	4.36701
1970-02-12 12:00:00	9.31833	4.3396
1970-02-13 00:00:00	9.27584	4.33803
1970-02-13 12:00:00	9.20019	4.30508
1970-02-14 00:00:00	9.16495	4.2939
1970-02-14 12:00:00	9.09829	4.26708
1970-02-15 00:00:00	9.05706	4.25727
1970-02-15 12:00:00	8.98985	4.23039
1970-02-16 00:00:00	8.99061	4.21706
1970-02-16 12:00:00	8.93137	4.19008
1970-02-17 00:00:00	8.91512	4.18622
1970-02-17 12:00:00	8.86121	4.16345
1970-02-18 00:00:00	8.83678	4.15858
1970-02-18 12:00:00	8.77339	4.13078
1970-02-19 00:00:00	8.74882	4.12077
1970-02-19 12:00:00	8.68308	4.09262
1970-02-20 00:00:00	8.6515	4.08957
1970-02-20 12:00:00	8.58286	4.0561
1970-02-21 00:00:00	8.59885	4.04912
1970-02-21 12:00:00	8.5585	4.03301
1970-02-22 00:00:00	8.56631	4.03302
1970-02-22 12:00:00	8.5102	4.00657
1970-02-23 00:00:00	8.49589	4.00712
1970-02-23 12:00:00	8.44047	3.9852
1970-02-24 00:00:00	8.46647	3.98601
1970-02-24 12:00:00	8.41645	3.96541
1970-02-25 00:00:00	8.46321	3.96864
1970-02-25 12:00:00	8.41813	3.93916
1970-02-26 00:00:00	8.46099	3.94463
1970-02-26 12:00:00	8.42623	3.92934
1970-02-27 00:00:00	8.41731	3.93279
1970-02-27 12:00:00	8.3709	3.91179
1970-02-28 00:00:00	8.34875	3.9124
1970-02-28 12:00:00	8.29898	3.89171
1970-03-01 00:00:00	8.2757	3.8899
1970-03-01 12:00:00	8.22065	3.8622
1970-03-02 00:00:00	8.23338	3.85987
1970-03-02 12:00:00	8.18841	3.83837
1970-03-03 00:00:00	8.17218	3.83346
1970-03-03 12:00:00	8.12698	3.81517
1970-03-04 00:00:00	8.09932	3.81543
1970-03-04 12:00:00	8.05086	3.79432
1970-03-05 00:00:00	8.03269	3.79051
1970-03-05 12:00:00	7.99238	3.77399
1970-03-06 00:00:00	7.97943	3.77323
1970-03-06 12:00:00	7.93694	3.7551
1970-03-07 00:00:00	7.99896	3.75755
1970-03-07 12:00:00	7.97784	3.74478
1970-03-08 00:00:00	8.04891	3.75049
1970-03-08 12:00:00	8.02936	3.73832
1970-03-09 00:00:00	8.11543	3.74998
1970-03-09 12:00:00	8.09398	3.73721
1970-03-10 00:00:00	8.09091	3.74584
1970-03-10 12:00:00	8.05327	3.73078
1970-03-11 00:00:00	8.04163	3.73065
1970-03-11 12:00:00	8.00775	3.7136
1970-03-12 00:00:00	7.95632	3.71164
1970-03-12 12:00:00	7.91582	3.6928
1970-03-13 00:00:00	7.8707	3.68882
1970-03-13 12:00:00	7.83173	3.67223
1970-03-14 00:00:00	7.79321	3.66354
1970-03-14 12:00:00	7.74714	3.63946
1970-03-15 00:00:00	7.71511	3.63167
1970-03-15 12:00:00	7.67811	3.61677
1970-03-16 00:00:00	7.65513	3.61031
1970-03-16 12:00:00	7.61075	3.594
1970-03-17 00:00:00	7.6033	3.59243
1970-03-17 12:00:00	7.57733	3.57559
1970-03-18 00:00:00	7.6131	3.57058
1970-03-18 12:00:00	7.62784	3.56549
1970-03-19 00:00:00	7.71436	3.56347
1970-03-19 12:00:00	7.75071	3.56651
1970-03-20 00:00:00	7.78729	3.5909
1970-03-20 12:00:00	7.76765	3.58018
1970-03-21 00:00:00	7.78142	3.59928
1970-03-21 12:00:00	7.75745	3.59076
1970-03-22 00:00:00	7.82768	3.60295
1970-03-22 12:00:00	7.81682	3.59145
1970-03-23 00:00:00	7.86847	3.6092
1970-03-23 12:00:00	7.86573	3.60327
1970-03-24 00:00:00	7.9185	3.62392
1970-03-24 12:00:00	7.89747	3.60973
1970-03-25 00:00:00	7.85729	3.61115
1970-03-25 12:00:00	7.82942	3.60126
1970-03-26 00:00:00	7.76777	3.59076
1970-03-26 12:00:00	7.73677	3.57814
1970-03-27 00:00:00	7.67968	3.56507
1970-03-27 12:00:00	7.64698	3.55077
1970-03-28 00:00:00	7.66029	3.5335
1970-03-28 12:00:00	7.64019	3.52102
1970-03-29 00:00:00	7.66465	3.50869
1970-03-29 12:00:00	7.64141	3.48842
1970-03-30 00:00:00	7.59885	3.48411
1970-03-30 12:00:00	7.57072	3.47307
1970-03-31 00:00:00	7.55737	3.46526
1970-03-31 12:00:00	7.53653	3.45454
1970-04-01 00:00:00	7.55216	3.4557
1970-04-01 12:00:00	7.54073	3.44769
1970-04-02 00:00:00	7.64924	3.46666
1970-04-02 12:00:00	7.65212	3.46079
1970-04-03 00:00:00	7.7243	3.48625
1970-04-03 12:00:00	7.7132	3.47688
1970-04-04 00:00:00	7.68805	3.48487
1970-04-04 12:00:00	7.66572	3.47526
1970-04-05 00:00:00	7.61188	3.47124
1970-04-05 12:00:00	7.58826	3.46132
1970-04-06 00:00:00	7.5711	3.44791
1970-04-06 12:00:00	7.55888	3.44029
1970-04-07 00:00:00	7.55305	3.43581
1970-04-07 12:00:00	7.53542	3.42714
1970-04-08 00:00:00	7.46037	3.41542
1970-04-08 12:00:00	7.43779	3.40401
1970-04-09 00:00:00	7.41501	3.39236
1970-04-09 12:00:00	7.39078	3.38044
1970-04-10 00:00:00	7.34859	3.37592
1970-04-10 12:00:00	7.32442	3.36537
1970-04-11 00:00:00	7.29844	3.35312
1970-04-11 12:00:00	7.29352	3.3427
1970-04-12 00:00:00	7.33427	3.34277
1970-04-12 12:00:00	7.36497	3.3438
1970-04-13 00:00:00	7.36364	3.34053
1970-04-13 12:00:00	7.36753	3.33963
1970-04-14 00:00:00	7.34374	3.33234
1970-04-14 12:00:00	7.32453	3.33048
1970-04-15 00:00:00	7.26021	3.31725
1970-04-15 12:00:00	7.2393	3.31392
1970-04-16 00:00:00	7.18039	3.2936
1970-04-16 12:00:00	7.15666	3.28166
1970-04-17 00:00:00	7.17568	3.27825
1970-04-17 12:00:00	7.16548	3.27179
1970-04-18 00:00:00	7.17462	3.2734
1970-04-18 12:00:00	7.14823	3.25626
1970-04-19 00:00:00	7.1402	3.25249
1970-04-19 12:00:00	7.12015	3.24593
1970-04-20 00:00:00	7.13352	3.25099
1970-04-20 12:00:00	7.12059	3.24403
1970-04-21 00:00:00	7.12177	3.24786
1970-04-21 12:00:00	7.09871	3.23949
1970-04-22 00:00:00	7.10279	3.23485
1970-04-22 12:00:00	7.08606	3.22708
1970-04-23 00:00:00	7.17698	3.23876
1970-04-23 12:00:00	7.18066	3.23656
1970-04-24 00:00:00	7.42298	3.28127
1970-04-24 12:00:00	7.44619	3.28174
1970-04-25 00:00:00	7.50749	3.3152
1970-04-25 12:00:00	7.49388	3.30985
1970-04-26 00:00:00	7.46292	3.3233
1970-04-26 12:00:00	7.43939	3.31522
1970-04-27 00:00:00	7.40085	3.30823
1970-04-27 12:00:00	7.38709	3.30183
1970-04-28 00:00:00	7.28918	3.28523
1970-04-28 12:00:00	7.26583	3.27624
1970-04-29 00:00:00	7.1743	3.25653
1970-04-29 12:00:00	7.14682	3.24575
1970-04-30 00:00:00	7.22983	3.24248
1970-04-30 12:00:00	7.23807	3.23864
1970-05-01 00:00:00	7.20226	3.24082
1970-05-01 12:00:00	7.17983	3.23073
1970-05-02 00:00:00	7.13356	3.22842
1970-05-02 12:00:00	7.10717	3.21819
1970-05-03 00:00:00	7.04654	3.2107
1970-05-03 12:00:00	7.02375	3.20261
1970-05-04 00:00:00	6.95861	3.18099
1970-05-04 12:00:00	6.93387	3.1711
1970-05-05 00:00:00	6.85651	3.1491
1970-05-05 12:00:00	6.81836	3.12776
1970-05-06 00:00:00	6.74672	3.1075
1970-05-06 12:00:00	6.7203	3.09926
1970-05-07 00:00:00	6.64718	3.07887
1970-05-07 12:00:00	6.61149	3.06503
1970-05-08 00:00:00	6.57028	3.05147
1970-05-08 12:00:00	6.54438	3.04204
1970-05-09 00:00:00	6.52189	3.03299
1970-05-09 12:00:00	6.48794	3.01633
1970-05-10 00:00:00	6.46474	3.00918
1970-05-10 12:00:00	6.43872	2.99858
1970-05-11 00:00:00	6.4132	2.99313
1970-05-11 12:00:00	6.38392	2.98237
1970-05-12 00:00:00	6.36425	2.97787
1970-05-12 12:00:00	6.33567	2.96712
1970-05-13 00:00:00	6.34957	2.97004
1970-05-13 12:00:00	6.32781	2.96131
1970-05-14 00:00:00	6.33259	2.95944
1970-05-14 12:00:00	6.31236	2.9519
1970-05-15 00:00:00	6.3207	2.95714
1970-05-15 12:00:00	6.29462	2.94768
1970-05-16 00:00:00	6.28572	2.94959
1970-05-16 12:00:00	6.25664	2.93841
1970-05-17 00:00:00	6.25906	2.93937
1970-05-17 12:00:00	6.23793	2.93141
1970-05-18 00:00:00	6.2357	2.93152
1970-05-18 12:00:00	6.21445	2.92302
1970-05-19 00:00:00	6.22146	2.92345
1970-05-19 12:00:00	6.2008	2.91542
1970-05-20 00:00:00	6.20098	2.91522
1970-05-20 12:00:00	6.17872	2.90752
1970-05-21 00:00:00	6.18599	2.90673
1970-05-21 12:00:00	6.1884	2.90326
1970-05-22 00:00:00	6.21117	2.89937
1970-05-22 12:00:00	6.23909	2.90226
1970-05-23 00:00:00	6.25853	2.90459
1970-05-23 12:00:00	6.26129	2.90362
1970-05-24 00:00:00	6.25734	2.91042
1970-05-24 12:00:00	6.23878	2.90921
1970-05-25 00:00:00	6.2141	2.90184
1970-05-25 12:00:00	6.2114	2.90726
1970-05-26 00:00:00	6.18123	2.88879
1970-05-26 12:00:00	6.17312	2.89383
1970-05-27 00:00:00	6.14076	2.88412
1970-05-27 12:00:00	6.13884	2.88366
1970-05-28 00:00:00	6.12125	2.87694
1970-05-28 12:00:00	6.12525	2.87941
1970-05-29 00:00:00	6.08293	2.87137
1970-05-29 12:00:00	6.06419	2.86516
1970-05-30 00:00:00	6.09287	2.86566
1970-05-30 12:00:00	6.09273	2.86446
1970-05-31 00:00:00	6.06707	2.86017
1970-05-31 12:00:00	6.04626	2.85319
1970-06-01 00:00:00	6.02359	2.84495
1970-06-01 12:00:00	6.00232	2.84144
1970-06-02 00:00:00	5.97931	2.83673
1970-06-02 12:00:00	5.96699	2.83288
1970-06-03 00:00:00	5.94823	2.8268
1970-06-03 12:00:00	5.92615	2.82143
1970-06-04 00:00:00	5.8927	2.80666
1970-06-04 12:00:00	5.88415	2.80557
1970-06-05 00:00:00	5.84348	2.79317
1970-06-05 12:00:00	5.83883	2.795
1970-06-06 00:00:00	5.80688	2.78544
1970-06-06 12:00:00	5.80155	2.78438
1970-06-07 00:00:00	5.7749	2.77792
1970-06-07 12:00:00	5.75163	2.77
1970-06-08 00:00:00	5.73672	2.76574
1970-06-08 12:00:00	5.70707	2.75177
1970-06-09 00:00:00	5.70629	2.75497
1970-06-09 12:00:00	5.68644	2.7499
1970-06-10 00:00:00	5.68362	2.74847
1970-06-10 12:00:00	5.66184	2.7402
1970-06-11 00:00:00	5.65663	2.74004
1970-06-11 12:00:00	5.63144	2.73081
1970-06-12 00:00:00	5.62783	2.73017
1970-06-12 12:00:00	5.60373	2.72283
1970-06-13 00:00:00	5.60049	2.72263
1970-06-13 12:00:00	5.58034	2.71672
1970-06-14 00:00:00	5.58204	2.71646
1970-06-14 12:00:00	5.56282	2.70895
1970-06-15 00:00:00	5.56122	2.70874
1970-06-15 12:00:00	5.5352	2.70155
1970-06-16 00:00:00	5.53285	2.70118
1970-06-16 12:00:00	5.52328	2.70183
1970-06-17 00:00:00	5.52012	2.70117
1970-06-17 12:00:00	5.49243	2.68797
1970-06-18 00:00:00	5.49079	2.6883
1970-06-18 12:00:00	5.47124	2.6805
1970-06-19 00:00:00	5.4724	2.68156
1970-06-19 12:00:00	5.45462	2.67636
1970-06-20 00:00:00	5.45121	2.67622
1970-06-20 12:00:00	5.43958	2.67626
1970-06-21 00:00:00	5.43993	2.67788
1970-06-21 12:00:00	5.41979	2.67125
1970-06-22 00:00:00	5.42369	2.67247
1970-06-22 12:00:00	5.40982	2.6679
1970-06-23 00:00:00	5.41499	2.66949
1970-06-23 12:00:00	5.3977	2.66282
1970-06-24 00:00:00	5.39402	2.66233
1970-06-24 12:00:00	5.37762	2.65619
1970-06-25 00:00:00	5.38323	2.65695
1970-06-25 12:00:00	5.37401	2.65154
1970-06-26 00:00:00	5.38317	2.6515
1970-06-26 12:00:00	5.38753	2.65099
1970-06-27 00:00:00	5.39069	2.65516
1970-06-27 12:00:00	5.38352	2.65171
1970-06-28 00:00:00	5.36835	2.64006
1970-06-28 12:00:00	5.37636	2.64449
1970-06-29 00:00:00	5.36252	2.63637
1970-06-29 12:00:00	5.35721	2.63742
1970-06-30 00:00:00	5.34718	2.62592
1970-06-30 12:00:00	5.35954	2.63099
1970-07-01 00:00:00	5.37905	2.63371
1970-07-01 12:00:00	5.39524	2.62804
1970-07-02 00:00:00	5.41169	2.63131
1970-07-02 12:00:00	5.41809	2.63309
1970-07-03 00:00:00	5.4224	2.6353
1970-07-03 12:00:00	5.42393	2.63916
1970-07-04 00:00:00	5.42635	2.63734
1970-07-04 12:00:00	5.43092	2.64078
1970-07-05 00:00:00	5.41976	2.64101
1970-07-05 12:00:00	5.42318	2.646
1970-07-06 00:00:00	5.40886	2.64304
1970-07-06 12:00:00	5.40882	2.64843
