Data stored on SZ timesteps
Time	Obs 5	Obs 35	Obs 37	Obs 65
Unit	100180	1000	0	100180	1000	0	100180	1000	0	100180	1000	0
1970-01-01 00:00:00	64.6437	43.1092	35.0513	26.9603
1970-01-02 00:00:00	64.6357	43.1041	35.0552	26.9454
1970-01-03 00:00:00	64.6299	43.104	35.0645	26.9341
1970-01-04 00:00:00	64.6235	43.1022	35.0788	26.9231
1970-01-05 00:00:00	64.6172	43.0919	35.0988	26.9133
1970-01-06 00:00:00	64.611	43.0905	35.1137	26.8979
1970-01-07 00:00:00	64.6048	43.0884	35.123	26.8894
1970-01-08 00:00:00	64.5988	43.0788	35.1273	26.8761
1970-01-09 00:00:00	64.5928	43.0765	35.1344	26.8682
1970-01-10 00:00:00	64.5868	43.0665	35.1371	26.8607
1970-01-11 00:00:00	64.5758	43.0647	35.1417	26.8534
1970-01-12 00:00:00	64.5698	43.0624	35.1504	26.8466
1970-01-13 00:00:00	64.5642	43.0529	35.1549	26.8402
1970-01-14 00:00:00	64.5586	43.0505	35.1593	26.834
1970-01-15 00:00:00	64.5531	43.0481	35.1639	26.8283
1970-01-16 00:00:00	64.5476	43.0376	35.1725	26.8227
1970-01-17 00:00:00	64.5422	43.0352	35.1814	26.8174
1970-01-18 00:00:00	64.5368	43.0328	35.1887	26.8125
1970-01-19 00:00:00	64.5314	43.0209	35.1979	26.8078
1970-01-20 00:00:00	64.5261	43.0184	35.2015	26.8031
1970-01-21 00:00:00	64.5208	43.0161	35.2043	26.7983
1970-01-22 00:00:00	64.5156	43.0075	35.2079	26.7938
1970-01-23 00:00:00	64.5046	43.0006	35.2107	26.7893
1970-01-24 00:00:00	64.4994	42.9983	35.2094	26.7848
1970-01-25 00:00:00	64.4943	42.9958	35.2115	26.7805
1970-01-26 00:00:00	64.4892	42.9933	35.2097	26.7762
1970-01-27 00:00:00	64.4842	42.9909	35.2144	26.7729
1970-01-28 00:00:00	64.4792	42.9884	35.2206	26.7692
1970-01-29 00:00:00	64.4742	42.9809	35.2258	26.7657
1970-01-30 00:00:00	64.4693	42.9785	35.2335	26.757
1970-01-31 00:00:00	64.4643	42.976	35.2368	26.7538
1970-02-01 00:00:00	64.4595	42.9735	35.2396	26.7504
1970-02-02 00:00:00	64.4544	42.9711	35.242	26.747
1970-02-03 00:00:00	64.4494	42.9628	35.2436	26.7435
