Data stored on MIKE 11 timesteps
Time	Karup River at Hagebro	Karup River at Karup
Unit	100001	1800	0	100001	1800	0
1970-01-01 12:00:00	15.9493	7.08271
1970-01-02 00:00:00	15.7703	7.0871
1970-01-02 12:00:00	15.3172	6.89529
1970-01-03 00:00:00	15.2406	6.83619
1970-01-03 12:00:00	14.9047	6.71269
1970-01-04 00:00:00	14.8608	6.66317
1970-01-04 12:00:00	14.5389	6.53588
1970-01-05 00:00:00	14.5592	6.51881
1970-01-05 12:00:00	14.2691	6.40639
1970-01-06 00:00:00	14.2307	6.37636
1970-01-06 12:00:00	13.944	6.26783
1970-01-07 00:00:00	13.9195	6.24887
1970-01-07 12:00:00	13.6442	6.14403
1970-01-08 00:00:00	13.6229	6.13373
1970-01-08 12:00:00	13.3611	6.03589
1970-01-09 00:00:00	13.3361	6.01759
1970-01-09 12:00:00	13.089	5.92337
1970-01-10 00:00:00	13.0794	5.91172
1970-01-10 12:00:00	12.8443	5.82704
1970-01-11 00:00:00	12.8409	5.82123
1970-01-11 12:00:00	12.6287	5.74023
1970-01-12 00:00:00	12.6445	5.73427
1970-01-12 12:00:00	12.443	5.65912
1970-01-13 00:00:00	12.4508	5.65418
1970-01-13 12:00:00	12.2524	5.58001
1970-01-14 00:00:00	12.2566	5.57617
1970-01-14 12:00:00	12.0767	5.50861
1970-01-15 00:00:00	12.0901	5.50971
1970-01-15 12:00:00	11.9179	5.44345
1970-01-16 00:00:00	11.9231	5.44402
1970-01-16 12:00:00	11.7572	5.38183
1970-01-17 00:00:00	11.774	5.38563
1970-01-17 12:00:00	11.6239	5.33153
1970-01-18 00:00:00	11.6357	5.33207
1970-01-18 12:00:00	11.4885	5.27355
1970-01-19 00:00:00	11.4822	5.27024
1970-01-19 12:00:00	11.3374	5.21186
1970-01-20 00:00:00	11.3205	5.20769
1970-01-20 12:00:00	11.1619	5.15178
1970-01-21 00:00:00	11.1572	5.15022
1970-01-21 12:00:00	11.0121	5.09655
1970-01-22 00:00:00	11.0105	5.09438
1970-01-22 12:00:00	10.8758	5.03593
1970-01-23 00:00:00	10.8667	5.03451
1970-01-23 12:00:00	10.728	4.97808
1970-01-24 00:00:00	10.7224	4.97814
1970-01-24 12:00:00	10.5883	4.92569
1970-01-25 00:00:00	10.5864	4.92633
1970-01-25 12:00:00	10.4546	4.87068
1970-01-26 00:00:00	10.4488	4.86582
1970-01-26 12:00:00	10.3245	4.81518
1970-01-27 00:00:00	10.3795	4.81971
1970-01-27 12:00:00	10.2734	4.77368
1970-01-28 00:00:00	10.2815	4.78129
1970-01-28 12:00:00	10.1694	4.73489
1970-01-29 00:00:00	10.1753	4.73845
1970-01-29 12:00:00	10.0591	4.68771
1970-01-30 00:00:00	10.0568	4.6902
1970-01-30 12:00:00	9.95476	4.64941
1970-01-31 00:00:00	9.96075	4.65053
1970-01-31 12:00:00	9.85865	4.60989
1970-02-01 00:00:00	9.85736	4.61122
1970-02-01 12:00:00	9.75813	4.57083
1970-02-02 00:00:00	9.75464	4.57211
1970-02-02 12:00:00	9.65031	4.52713
1970-02-03 00:00:00	9.64573	4.52598
1970-02-03 12:00:00	9.55843	4.48783
1970-02-04 00:00:00	9.58127	4.45906
1970-02-04 12:00:00	9.58008	4.45153
1970-02-05 00:00:00	9.62049	4.45309
1970-02-05 12:00:00	9.56887	4.4335
1970-02-06 00:00:00	9.59202	4.45518
1970-02-06 12:00:00	9.518	4.42703
1970-02-07 00:00:00	9.51642	4.43961
1970-02-07 12:00:00	9.42846	4.40231
1970-02-08 00:00:00	9.40696	4.40169
1970-02-08 12:00:00	9.32848	4.37324
1970-02-09 00:00:00	9.41206	4.3833
1970-02-09 12:00:00	9.35613	4.35829
1970-02-10 00:00:00	9.3679	4.37358
1970-02-10 12:00:00	9.29827	4.34604
1970-02-11 00:00:00	9.35116	4.35765
1970-02-11 12:00:00	9.29896	4.33394
1970-02-12 00:00:00	9.29366	4.33866
1970-02-12 12:00:00	9.22642	4.31242
1970-02-13 00:00:00	9.20158	4.31154
1970-02-13 12:00:00	9.12725	4.27836
1970-02-14 00:00:00	9.08748	4.26955
1970-02-14 12:00:00	9.01915	4.24077
1970-02-15 00:00:00	8.99121	4.2339
1970-02-15 12:00:00	8.92651	4.2083
1970-02-16 00:00:00	8.93244	4.20299
1970-02-16 12:00:00	8.86904	4.17469
1970-02-17 00:00:00	8.84492	4.16561
1970-02-17 12:00:00	8.78781	4.14247
1970-02-18 00:00:00	8.77416	4.13889
1970-02-18 12:00:00	8.71429	4.11195
1970-02-19 00:00:00	8.6868	4.10446
1970-02-19 12:00:00	8.62261	4.0772
1970-02-20 00:00:00	8.6032	4.07449
1970-02-20 12:00:00	8.53543	4.04104
1970-02-21 00:00:00	8.54451	4.03557
1970-02-21 12:00:00	8.49819	4.01728
1970-02-22 00:00:00	8.50297	4.01708
1970-02-22 12:00:00	8.44712	3.99152
1970-02-23 00:00:00	8.4437	3.99168
1970-02-23 12:00:00	8.38999	3.96935
1970-02-24 00:00:00	8.40674	3.97034
1970-02-24 12:00:00	8.35328	3.94755
1970-02-25 00:00:00	8.38937	3.95051
1970-02-25 12:00:00	8.34148	3.92166
1970-02-26 00:00:00	8.37986	3.92612
1970-02-26 12:00:00	8.34114	3.90706
1970-02-27 00:00:00	8.33488	3.91049
1970-02-27 12:00:00	8.29101	3.8922
1970-02-28 00:00:00	8.27176	3.89281
1970-02-28 12:00:00	8.22159	3.87196
1970-03-01 00:00:00	8.20719	3.87026
1970-03-01 12:00:00	8.14163	3.83279
1970-03-02 00:00:00	8.14262	3.82831
1970-03-02 12:00:00	8.10897	3.81744
1970-03-03 00:00:00	8.0998	3.81686
1970-03-03 12:00:00	8.0505	3.79586
1970-03-04 00:00:00	8.03987	3.79597
1970-03-04 12:00:00	7.99708	3.77836
1970-03-05 00:00:00	7.96574	3.77729
1970-03-05 12:00:00	7.9212	3.75881
1970-03-06 00:00:00	7.91126	3.75404
1970-03-06 12:00:00	7.86845	3.73461
1970-03-07 00:00:00	7.9329	3.73755
1970-03-07 12:00:00	7.91384	3.72731
1970-03-08 00:00:00	7.97032	3.73183
1970-03-08 12:00:00	7.94638	3.71803
1970-03-09 00:00:00	8.03737	3.72839
1970-03-09 12:00:00	8.01501	3.71505
1970-03-10 00:00:00	8.0095	3.72374
1970-03-10 12:00:00	7.97195	3.70805
1970-03-11 00:00:00	7.9416	3.70879
1970-03-11 12:00:00	7.90273	3.69108
1970-03-12 00:00:00	7.86594	3.68966
1970-03-12 12:00:00	7.82531	3.67204
1970-03-13 00:00:00	7.78512	3.66734
1970-03-13 12:00:00	7.74029	3.64422
1970-03-14 00:00:00	7.7218	3.63662
1970-03-14 12:00:00	7.68496	3.6212
1970-03-15 00:00:00	7.65207	3.61908
1970-03-15 12:00:00	7.61196	3.60281
1970-03-16 00:00:00	7.58579	3.59643
1970-03-16 12:00:00	7.54191	3.58067
1970-03-17 00:00:00	7.53047	3.57546
1970-03-17 12:00:00	7.50547	3.55873
1970-03-18 00:00:00	7.53916	3.55188
1970-03-18 12:00:00	7.54755	3.54927
1970-03-19 00:00:00	7.64394	3.55114
1970-03-19 12:00:00	7.64205	3.54388
1970-03-20 00:00:00	7.72341	3.57377
1970-03-20 12:00:00	7.70661	3.5643
1970-03-21 00:00:00	7.68613	3.57928
1970-03-21 12:00:00	7.65395	3.56666
1970-03-22 00:00:00	7.71904	3.57324
1970-03-22 12:00:00	7.70887	3.56385
1970-03-23 00:00:00	7.76145	3.58095
1970-03-23 12:00:00	7.75454	3.5708
1970-03-24 00:00:00	7.81114	3.59041
1970-03-24 12:00:00	7.79444	3.58166
1970-03-25 00:00:00	7.75706	3.58351
1970-03-25 12:00:00	7.72551	3.57044
1970-03-26 00:00:00	7.67268	3.56132
1970-03-26 12:00:00	7.64181	3.54808
1970-03-27 00:00:00	7.56501	3.53775
1970-03-27 12:00:00	7.53415	3.52481
1970-03-28 00:00:00	7.55506	3.50981
1970-03-28 12:00:00	7.5288	3.49095
1970-03-29 00:00:00	7.53801	3.47968
1970-03-29 12:00:00	7.52026	3.46774
1970-03-30 00:00:00	7.48697	3.46242
1970-03-30 12:00:00	7.45651	3.44928
1970-03-31 00:00:00	7.45801	3.44201
1970-03-31 12:00:00	7.43625	3.43217
1970-04-01 00:00:00	7.46453	3.43363
1970-04-01 12:00:00	7.45177	3.42398
1970-04-02 00:00:00	7.52862	3.44045
1970-04-02 12:00:00	7.52862	3.4348
1970-04-03 00:00:00	7.59807	3.4582
1970-04-03 12:00:00	7.58397	3.44834
1970-04-04 00:00:00	7.55105	3.4547
1970-04-04 12:00:00	7.53026	3.44571
1970-04-05 00:00:00	7.49273	3.44041
1970-04-05 12:00:00	7.47114	3.43081
1970-04-06 00:00:00	7.46135	3.42507
1970-04-06 12:00:00	7.44852	3.41642
1970-04-07 00:00:00	7.43608	3.41154
1970-04-07 12:00:00	7.41788	3.40337
1970-04-08 00:00:00	7.3633	3.39123
1970-04-08 12:00:00	7.3373	3.37983
1970-04-09 00:00:00	7.30582	3.36759
1970-04-09 12:00:00	7.28278	3.35669
1970-04-10 00:00:00	7.23917	3.35247
1970-04-10 12:00:00	7.21499	3.34165
1970-04-11 00:00:00	7.19027	3.33056
1970-04-11 12:00:00	7.18292	3.31783
1970-04-12 00:00:00	7.21795	3.31081
1970-04-12 12:00:00	7.24462	3.31328
1970-04-13 00:00:00	7.24493	3.30889
1970-04-13 12:00:00	7.24453	3.30954
1970-04-14 00:00:00	7.21064	3.30596
1970-04-14 12:00:00	7.2041	3.30495
1970-04-15 00:00:00	7.1352	3.28806
1970-04-15 12:00:00	7.11955	3.27884
1970-04-16 00:00:00	7.09283	3.27319
1970-04-16 12:00:00	7.07256	3.26405
1970-04-17 00:00:00	7.07655	3.26262
1970-04-17 12:00:00	7.05391	3.24761
1970-04-18 00:00:00	7.06324	3.24548
1970-04-18 12:00:00	7.04544	3.23685
1970-04-19 00:00:00	7.04029	3.23848
1970-04-19 12:00:00	7.01762	3.22905
1970-04-20 00:00:00	7.02328	3.231
1970-04-20 12:00:00	7.00621	3.22207
1970-04-21 00:00:00	6.9991	3.21876
1970-04-21 12:00:00	6.97729	3.21125
1970-04-22 00:00:00	6.98418	3.21204
1970-04-22 12:00:00	6.97837	3.20271
1970-04-23 00:00:00	7.02504	3.20186
1970-04-23 12:00:00	7.05462	3.20346
1970-04-24 00:00:00	7.20954	3.22372
1970-04-24 12:00:00	7.28503	3.23782
1970-04-25 00:00:00	7.2969	3.26995
1970-04-25 12:00:00	7.28593	3.26535
1970-04-26 00:00:00	7.28641	3.2782
1970-04-26 12:00:00	7.27201	3.2736
1970-04-27 00:00:00	7.23928	3.26937
1970-04-27 12:00:00	7.22291	3.26095
1970-04-28 00:00:00	7.153	3.25288
1970-04-28 12:00:00	7.12752	3.24332
1970-04-29 00:00:00	7.05392	3.2244
1970-04-29 12:00:00	7.01759	3.20436
1970-04-30 00:00:00	7.08126	3.20038
1970-04-30 12:00:00	7.08466	3.19293
1970-05-01 00:00:00	7.06085	3.19441
1970-05-01 12:00:00	7.04207	3.18865
1970-05-02 00:00:00	6.99834	3.18584
1970-05-02 12:00:00	6.97394	3.17637
1970-05-03 00:00:00	6.91741	3.16898
1970-05-03 12:00:00	6.89431	3.16097
1970-05-04 00:00:00	6.83001	3.14047
1970-05-04 12:00:00	6.80444	3.13039
1970-05-05 00:00:00	6.74057	3.10971
1970-05-05 12:00:00	6.71288	3.09808
1970-05-06 00:00:00	6.64534	3.07939
1970-05-06 12:00:00	6.61629	3.0688
1970-05-07 00:00:00	6.5475	3.05089
1970-05-07 12:00:00	6.50925	3.03467
1970-05-08 00:00:00	6.47451	3.02187
1970-05-08 12:00:00	6.44791	3.01298
1970-05-09 00:00:00	6.41984	3.00354
1970-05-09 12:00:00	6.39299	2.99365
1970-05-10 00:00:00	6.36472	2.98627
1970-05-10 12:00:00	6.33556	2.97563
1970-05-11 00:00:00	6.30457	2.96523
1970-05-11 12:00:00	6.276	2.9531
1970-05-12 00:00:00	6.27239	2.95336
1970-05-12 12:00:00	6.24751	2.94358
1970-05-13 00:00:00	6.25696	2.94474
1970-05-13 12:00:00	6.23487	2.93565
1970-05-14 00:00:00	6.24412	2.93805
1970-05-14 12:00:00	6.22073	2.92905
1970-05-15 00:00:00	6.22083	2.93159
1970-05-15 12:00:00	6.19725	2.92192
1970-05-16 00:00:00	6.195	2.92401
1970-05-16 12:00:00	6.16827	2.91264
1970-05-17 00:00:00	6.16418	2.91268
1970-05-17 12:00:00	6.13861	2.90281
1970-05-18 00:00:00	6.14243	2.90314
1970-05-18 12:00:00	6.12093	2.89487
1970-05-19 00:00:00	6.12446	2.89392
1970-05-19 12:00:00	6.09296	2.87922
1970-05-20 00:00:00	6.09102	2.87972
1970-05-20 12:00:00	6.07094	2.87123
1970-05-21 00:00:00	6.08149	2.87078
1970-05-21 12:00:00	6.08238	2.86729
1970-05-22 00:00:00	6.10378	2.86634
1970-05-22 12:00:00	6.12493	2.86558
1970-05-23 00:00:00	6.13576	2.86536
1970-05-23 12:00:00	6.13898	2.86694
1970-05-24 00:00:00	6.12952	2.87058
1970-05-24 12:00:00	6.11501	2.87333
1970-05-25 00:00:00	6.10185	2.86753
1970-05-25 12:00:00	6.09182	2.86733
1970-05-26 00:00:00	6.07654	2.86315
1970-05-26 12:00:00	6.06414	2.86037
1970-05-27 00:00:00	6.04115	2.84884
1970-05-27 12:00:00	6.0365	2.85241
1970-05-28 00:00:00	6.0104	2.84032
1970-05-28 12:00:00	6.01546	2.84354
1970-05-29 00:00:00	5.98012	2.8377
1970-05-29 12:00:00	5.96218	2.83162
1970-05-30 00:00:00	5.97999	2.8276
1970-05-30 12:00:00	5.97824	2.82622
1970-05-31 00:00:00	5.96301	2.8217
1970-05-31 12:00:00	5.94306	2.81655
1970-06-01 00:00:00	5.92743	2.8109
1970-06-01 12:00:00	5.90615	2.80695
1970-06-02 00:00:00	5.88228	2.80134
1970-06-02 12:00:00	5.87363	2.79803
1970-06-03 00:00:00	5.84345	2.7834
1970-06-03 12:00:00	5.82414	2.78078
1970-06-04 00:00:00	5.80071	2.77242
1970-06-04 12:00:00	5.78878	2.77005
1970-06-05 00:00:00	5.7525	2.75691
1970-06-05 12:00:00	5.7423	2.76005
1970-06-06 00:00:00	5.71128	2.75377
1970-06-06 12:00:00	5.69094	2.74499
1970-06-07 00:00:00	5.67667	2.74182
1970-06-07 12:00:00	5.64794	2.7281
1970-06-08 00:00:00	5.63714	2.72496
1970-06-08 12:00:00	5.61773	2.71902
1970-06-09 00:00:00	5.61821	2.71957
1970-06-09 12:00:00	5.59514	2.71072
1970-06-10 00:00:00	5.5918	2.71099
1970-06-10 12:00:00	5.56768	2.70326
1970-06-11 00:00:00	5.56395	2.70326
1970-06-11 12:00:00	5.54157	2.69589
1970-06-12 00:00:00	5.53654	2.69545
1970-06-12 12:00:00	5.51248	2.68583
1970-06-13 00:00:00	5.51438	2.68616
1970-06-13 12:00:00	5.49789	2.67985
1970-06-14 00:00:00	5.49444	2.67943
1970-06-14 12:00:00	5.47261	2.67132
1970-06-15 00:00:00	5.47224	2.6717
1970-06-15 12:00:00	5.45181	2.66369
1970-06-16 00:00:00	5.45153	2.66419
1970-06-16 12:00:00	5.43393	2.65766
1970-06-17 00:00:00	5.43447	2.65854
1970-06-17 12:00:00	5.41443	2.65124
1970-06-18 00:00:00	5.41644	2.65166
1970-06-18 12:00:00	5.39887	2.64545
1970-06-19 00:00:00	5.39741	2.64656
1970-06-19 12:00:00	5.37635	2.63854
1970-06-20 00:00:00	5.37704	2.64093
1970-06-20 12:00:00	5.35887	2.6343
1970-06-21 00:00:00	5.3616	2.63537
1970-06-21 12:00:00	5.34241	2.62801
1970-06-22 00:00:00	5.33994	2.62831
1970-06-22 12:00:00	5.31455	2.61499
1970-06-23 00:00:00	5.31753	2.61557
1970-06-23 12:00:00	5.30419	2.61154
1970-06-24 00:00:00	5.30412	2.61207
1970-06-24 12:00:00	5.28678	2.60548
1970-06-25 00:00:00	5.28831	2.60584
1970-06-25 12:00:00	5.28705	2.60249
1970-06-26 00:00:00	5.29646	2.60505
1970-06-26 12:00:00	5.29907	2.6006
1970-06-27 00:00:00	5.30203	2.60003
1970-06-27 12:00:00	5.29561	2.59707
1970-06-28 00:00:00	5.28969	2.59416
1970-06-28 12:00:00	5.2849	2.59243
1970-06-29 00:00:00	5.27877	2.59058
1970-06-29 12:00:00	5.2771	2.58919
1970-06-30 00:00:00	5.27312	2.58452
1970-06-30 12:00:00	5.2781	2.58672
1970-07-01 00:00:00	5.29536	2.58642
1970-07-01 12:00:00	5.32974	2.58536
1970-07-02 00:00:00	5.34191	2.58855
1970-07-02 12:00:00	5.35031	2.59083
1970-07-03 00:00:00	5.35741	2.59435
1970-07-03 12:00:00	5.36474	2.59835
1970-07-04 00:00:00	5.38136	2.60443
1970-07-04 12:00:00	5.37389	2.60415
1970-07-05 00:00:00	5.36328	2.60521
1970-07-05 12:00:00	5.36041	2.60853
1970-07-06 00:00:00	5.34755	2.60644
1970-07-06 12:00:00	5.34714	2.61099
