Data stored on MIKE 11 timesteps
Time	Karup River at Hagebro	Karup River at Karup
Unit	100001	1800	0	100001	1800	0
1970-01-01 12:00:00	15.9493	7.08271
1970-01-02 00:00:00	15.7703	7.08713
1970-01-02 12:00:00	15.3173	6.89532
1970-01-03 00:00:00	15.2511	6.84151
1970-01-03 12:00:00	14.9187	6.71934
1970-01-04 00:00:00	14.8803	6.67007
1970-01-04 12:00:00	14.5617	6.54343
1970-01-05 00:00:00	14.5715	6.5237
1970-01-05 12:00:00	14.2774	6.41065
1970-01-06 00:00:00	14.247	6.38113
1970-01-06 12:00:00	13.9612	6.2733
1970-01-07 00:00:00	13.9386	6.25752
1970-01-07 12:00:00	13.6633	6.15148
1970-01-08 00:00:00	13.6334	6.1345
1970-01-08 12:00:00	13.373	6.0373
1970-01-09 00:00:00	13.3546	6.02254
1970-01-09 12:00:00	13.108	5.92896
1970-01-10 00:00:00	13.0964	5.91576
1970-01-10 12:00:00	12.8608	5.83059
1970-01-11 00:00:00	12.8532	5.82377
1970-01-11 12:00:00	12.6406	5.74122
1970-01-12 00:00:00	12.6536	5.73615
1970-01-12 12:00:00	12.4519	5.66241
1970-01-13 00:00:00	12.4639	5.65655
1970-01-13 12:00:00	12.2673	5.5822
1970-01-14 00:00:00	12.2704	5.58081
1970-01-14 12:00:00	12.0892	5.51384
1970-01-15 00:00:00	12.1031	5.51493
1970-01-15 12:00:00	11.9315	5.44911
1970-01-16 00:00:00	11.9383	5.44826
1970-01-16 12:00:00	11.7732	5.3864
1970-01-17 00:00:00	11.794	5.39083
1970-01-17 12:00:00	11.6489	5.33662
1970-01-18 00:00:00	11.6555	5.33721
1970-01-18 12:00:00	11.5095	5.27957
1970-01-19 00:00:00	11.5011	5.27663
1970-01-19 12:00:00	11.3504	5.21732
1970-01-20 00:00:00	11.3411	5.21339
1970-01-20 12:00:00	11.1858	5.1577
1970-01-21 00:00:00	11.1809	5.1554
1970-01-21 12:00:00	11.0431	5.10204
1970-01-22 00:00:00	11.0374	5.10024
1970-01-22 12:00:00	10.8934	5.04133
1970-01-23 00:00:00	10.8817	5.03864
1970-01-23 12:00:00	10.7419	4.98266
1970-01-24 00:00:00	10.7308	4.98233
1970-01-24 12:00:00	10.5995	4.93069
1970-01-25 00:00:00	10.6017	4.93114
1970-01-25 12:00:00	10.4668	4.87426
1970-01-26 00:00:00	10.4617	4.87512
1970-01-26 12:00:00	10.3382	4.82593
1970-01-27 00:00:00	10.3913	4.82914
1970-01-27 12:00:00	10.2842	4.78039
1970-01-28 00:00:00	10.2923	4.7843
1970-01-28 12:00:00	10.1825	4.73948
1970-01-29 00:00:00	10.1898	4.74325
1970-01-29 12:00:00	10.0798	4.69884
1970-01-30 00:00:00	10.0878	4.70088
1970-01-30 12:00:00	9.9801	4.65456
1970-01-31 00:00:00	9.9808	4.65582
1970-01-31 12:00:00	9.87658	4.61328
1970-02-01 00:00:00	9.87467	4.61493
1970-02-01 12:00:00	9.77683	4.5759
1970-02-02 00:00:00	9.77175	4.57649
1970-02-02 12:00:00	9.66987	4.53189
1970-02-03 00:00:00	9.66636	4.53075
1970-02-03 12:00:00	9.5721	4.49396
1970-02-04 00:00:00	9.68761	4.49738
1970-02-04 12:00:00	9.62301	4.46102
1970-02-05 00:00:00	9.69598	4.47178
1970-02-05 12:00:00	9.64131	4.44848
1970-02-06 00:00:00	9.653	4.46861
1970-02-06 12:00:00	9.57334	4.43775
1970-02-07 00:00:00	9.56182	4.45246
1970-02-07 12:00:00	9.4741	4.41538
1970-02-08 00:00:00	9.45986	4.41767
1970-02-08 12:00:00	9.38136	4.3894
1970-02-09 00:00:00	9.47281	4.39834
1970-02-09 12:00:00	9.4213	4.37523
1970-02-10 00:00:00	9.44914	4.39743
1970-02-10 12:00:00	9.38088	4.3702
1970-02-11 00:00:00	9.44985	4.3867
1970-02-11 12:00:00	9.40239	4.36487
1970-02-12 00:00:00	9.38894	4.36764
1970-02-12 12:00:00	9.32206	4.34025
1970-02-13 00:00:00	9.27862	4.33867
1970-02-13 12:00:00	9.20295	4.30577
1970-02-14 00:00:00	9.1676	4.29462
1970-02-14 12:00:00	9.10097	4.26783
1970-02-15 00:00:00	9.05704	4.25797
1970-02-15 12:00:00	8.98981	4.23106
1970-02-16 00:00:00	8.99586	4.21759
1970-02-16 12:00:00	8.9372	4.1906
1970-02-17 00:00:00	8.92148	4.18671
1970-02-17 12:00:00	8.86752	4.16391
1970-02-18 00:00:00	8.83773	4.15906
1970-02-18 12:00:00	8.77323	4.13089
1970-02-19 00:00:00	8.75118	4.1225
1970-02-19 12:00:00	8.68609	4.09501
1970-02-20 00:00:00	8.65786	4.09154
1970-02-20 12:00:00	8.58969	4.05813
1970-02-21 00:00:00	8.59813	4.05047
1970-02-21 12:00:00	8.55714	4.03441
1970-02-22 00:00:00	8.56264	4.03431
1970-02-22 12:00:00	8.50998	4.01134
1970-02-23 00:00:00	8.50513	4.01163
1970-02-23 12:00:00	8.4464	3.98574
1970-02-24 00:00:00	8.46583	3.9826
1970-02-24 12:00:00	8.41702	3.96234
1970-02-25 00:00:00	8.46224	3.9662
1970-02-25 12:00:00	8.41595	3.93667
1970-02-26 00:00:00	8.45921	3.94263
1970-02-26 12:00:00	8.42451	3.92726
1970-02-27 00:00:00	8.42428	3.93593
1970-02-27 12:00:00	8.37754	3.91473
1970-02-28 00:00:00	8.35382	3.91462
1970-02-28 12:00:00	8.30444	3.89419
1970-03-01 00:00:00	8.27947	3.89192
1970-03-01 12:00:00	8.22428	3.86371
1970-03-02 00:00:00	8.23711	3.86129
1970-03-02 12:00:00	8.19253	3.84019
1970-03-03 00:00:00	8.17485	3.83444
1970-03-03 12:00:00	8.12961	3.8161
1970-03-04 00:00:00	8.109	3.81636
1970-03-04 12:00:00	8.06142	3.79535
1970-03-05 00:00:00	8.03721	3.79469
1970-03-05 12:00:00	7.99546	3.7781
1970-03-06 00:00:00	7.98215	3.77277
1970-03-06 12:00:00	7.94068	3.75496
1970-03-07 00:00:00	8.00902	3.75804
1970-03-07 12:00:00	7.98872	3.74538
1970-03-08 00:00:00	8.04594	3.75068
1970-03-08 12:00:00	8.02484	3.73832
1970-03-09 00:00:00	8.10934	3.74931
1970-03-09 12:00:00	8.08797	3.7366
1970-03-10 00:00:00	8.09016	3.746
1970-03-10 12:00:00	8.05281	3.73094
1970-03-11 00:00:00	8.05086	3.73133
1970-03-11 12:00:00	8.01785	3.71454
1970-03-12 00:00:00	7.96123	3.7121
1970-03-12 12:00:00	7.92037	3.69304
1970-03-13 00:00:00	7.88014	3.68939
1970-03-13 12:00:00	7.84201	3.67291
1970-03-14 00:00:00	7.7952	3.66852
1970-03-14 12:00:00	7.74793	3.64438
1970-03-15 00:00:00	7.72845	3.63525
1970-03-15 12:00:00	7.6926	3.62032
1970-03-16 00:00:00	7.66423	3.61328
1970-03-16 12:00:00	7.62089	3.59761
1970-03-17 00:00:00	7.61063	3.59288
1970-03-17 12:00:00	7.5891	3.57742
1970-03-18 00:00:00	7.62848	3.57354
1970-03-18 12:00:00	7.64391	3.56503
1970-03-19 00:00:00	7.7379	3.56451
1970-03-19 12:00:00	7.78039	3.5706
1970-03-20 00:00:00	7.80467	3.59479
1970-03-20 12:00:00	7.78705	3.5868
1970-03-21 00:00:00	7.79674	3.60535
1970-03-21 12:00:00	7.77098	3.59484
1970-03-22 00:00:00	7.83324	3.60649
1970-03-22 12:00:00	7.82227	3.5953
1970-03-23 00:00:00	7.8772	3.61384
1970-03-23 12:00:00	7.87361	3.60742
1970-03-24 00:00:00	7.93104	3.6268
1970-03-24 12:00:00	7.91217	3.61272
1970-03-25 00:00:00	7.87274	3.61553
1970-03-25 12:00:00	7.84557	3.6062
1970-03-26 00:00:00	7.7854	3.59537
1970-03-26 12:00:00	7.75277	3.58207
1970-03-27 00:00:00	7.69668	3.56847
1970-03-27 12:00:00	7.66554	3.55443
1970-03-28 00:00:00	7.67694	3.53763
1970-03-28 12:00:00	7.65785	3.5261
1970-03-29 00:00:00	7.67587	3.51343
1970-03-29 12:00:00	7.64972	3.49038
1970-03-30 00:00:00	7.60788	3.48546
1970-03-30 12:00:00	7.58191	3.47611
1970-03-31 00:00:00	7.57723	3.4688
1970-03-31 12:00:00	7.55949	3.4605
1970-04-01 00:00:00	7.57279	3.46186
1970-04-01 12:00:00	7.56037	3.45352
1970-04-02 00:00:00	7.66467	3.47231
1970-04-02 12:00:00	7.66631	3.4658
1970-04-03 00:00:00	7.75101	3.49312
1970-04-03 12:00:00	7.74225	3.48498
1970-04-04 00:00:00	7.71612	3.486
1970-04-04 12:00:00	7.69559	3.47672
1970-04-05 00:00:00	7.63857	3.47208
1970-04-05 12:00:00	7.61508	3.46207
1970-04-06 00:00:00	7.59451	3.45501
1970-04-06 12:00:00	7.58059	3.44683
1970-04-07 00:00:00	7.5767	3.44093
1970-04-07 12:00:00	7.56498	3.43342
1970-04-08 00:00:00	7.51014	3.42256
1970-04-08 12:00:00	7.48357	3.41021
1970-04-09 00:00:00	7.44604	3.40492
1970-04-09 12:00:00	7.42054	3.39249
1970-04-10 00:00:00	7.37487	3.38181
1970-04-10 12:00:00	7.35304	3.37197
1970-04-11 00:00:00	7.31697	3.36077
1970-04-11 12:00:00	7.3165	3.35269
1970-04-12 00:00:00	7.36442	3.3516
1970-04-12 12:00:00	7.39723	3.34987
1970-04-13 00:00:00	7.40593	3.35077
1970-04-13 12:00:00	7.40849	3.35008
1970-04-14 00:00:00	7.3843	3.34658
1970-04-14 12:00:00	7.36551	3.34381
1970-04-15 00:00:00	7.29846	3.32628
1970-04-15 12:00:00	7.27818	3.31738
1970-04-16 00:00:00	7.23403	3.31118
1970-04-16 12:00:00	7.20763	3.2958
1970-04-17 00:00:00	7.22142	3.29433
1970-04-17 12:00:00	7.20613	3.28661
1970-04-18 00:00:00	7.20955	3.28391
1970-04-18 12:00:00	7.19126	3.27534
1970-04-19 00:00:00	7.19383	3.27694
1970-04-19 12:00:00	7.16307	3.25835
1970-04-20 00:00:00	7.1789	3.26138
1970-04-20 12:00:00	7.17063	3.25799
1970-04-21 00:00:00	7.1606	3.26072
1970-04-21 12:00:00	7.13642	3.25145
1970-04-22 00:00:00	7.14404	3.24466
1970-04-22 12:00:00	7.12585	3.23663
1970-04-23 00:00:00	7.21987	3.24627
1970-04-23 12:00:00	7.22795	3.24612
1970-04-24 00:00:00	7.48508	3.29488
1970-04-24 12:00:00	7.5101	3.2953
1970-04-25 00:00:00	7.57943	3.33388
1970-04-25 12:00:00	7.56279	3.32779
1970-04-26 00:00:00	7.50802	3.33994
1970-04-26 12:00:00	7.48749	3.33387
1970-04-27 00:00:00	7.45715	3.32609
1970-04-27 12:00:00	7.44528	3.31963
1970-04-28 00:00:00	7.35939	3.3069
1970-04-28 12:00:00	7.33341	3.2964
1970-04-29 00:00:00	7.23284	3.26536
1970-04-29 12:00:00	7.20864	3.25702
1970-04-30 00:00:00	7.28621	3.25493
1970-04-30 12:00:00	7.28893	3.24605
1970-05-01 00:00:00	7.25202	3.24957
1970-05-01 12:00:00	7.23446	3.24431
1970-05-02 00:00:00	7.19512	3.24193
1970-05-02 12:00:00	7.17503	3.23399
1970-05-03 00:00:00	7.12065	3.23452
1970-05-03 12:00:00	7.09416	3.22433
1970-05-04 00:00:00	7.01582	3.19413
1970-05-04 12:00:00	6.99334	3.18605
1970-05-05 00:00:00	6.92213	3.16577
1970-05-05 12:00:00	6.88309	3.14194
1970-05-06 00:00:00	6.80138	3.12075
1970-05-06 12:00:00	6.77473	3.11334
1970-05-07 00:00:00	6.70725	3.09444
1970-05-07 12:00:00	6.67859	3.08342
1970-05-08 00:00:00	6.64059	3.06787
1970-05-08 12:00:00	6.61288	3.05659
1970-05-09 00:00:00	6.57827	3.04733
1970-05-09 12:00:00	6.54674	3.0349
1970-05-10 00:00:00	6.52139	3.02861
1970-05-10 12:00:00	6.49236	3.01444
1970-05-11 00:00:00	6.47413	3.00775
1970-05-11 12:00:00	6.4467	2.99723
1970-05-12 00:00:00	6.43463	2.99462
1970-05-12 12:00:00	6.4059	2.9838
1970-05-13 00:00:00	6.41385	2.98441
1970-05-13 12:00:00	6.3947	2.97703
1970-05-14 00:00:00	6.40297	2.98199
1970-05-14 12:00:00	6.38189	2.97423
1970-05-15 00:00:00	6.38541	2.97401
1970-05-15 12:00:00	6.36446	2.96628
1970-05-16 00:00:00	6.36362	2.97093
1970-05-16 12:00:00	6.3341	2.95846
1970-05-17 00:00:00	6.32511	2.95376
1970-05-17 12:00:00	6.30207	2.94677
1970-05-18 00:00:00	6.29763	2.94761
1970-05-18 12:00:00	6.27631	2.9402
1970-05-19 00:00:00	6.28431	2.94209
1970-05-19 12:00:00	6.26407	2.93308
1970-05-20 00:00:00	6.26652	2.93315
1970-05-20 12:00:00	6.24576	2.92551
1970-05-21 00:00:00	6.25609	2.9261
1970-05-21 12:00:00	6.27041	2.92146
1970-05-22 00:00:00	6.29896	2.92468
1970-05-22 12:00:00	6.32313	2.92523
1970-05-23 00:00:00	6.34132	2.92678
1970-05-23 12:00:00	6.34687	2.92903
1970-05-24 00:00:00	6.33814	2.93379
1970-05-24 12:00:00	6.32495	2.93496
1970-05-25 00:00:00	6.30669	2.9341
1970-05-25 12:00:00	6.29576	2.93453
1970-05-26 00:00:00	6.27678	2.92841
1970-05-26 12:00:00	6.262	2.9249
1970-05-27 00:00:00	6.22605	2.90653
1970-05-27 12:00:00	6.22062	2.90626
1970-05-28 00:00:00	6.2036	2.90024
1970-05-28 12:00:00	6.20959	2.90375
1970-05-29 00:00:00	6.17268	2.89553
1970-05-29 12:00:00	6.15588	2.89039
1970-05-30 00:00:00	6.17364	2.89087
1970-05-30 12:00:00	6.17241	2.89028
1970-05-31 00:00:00	6.14922	2.88221
1970-05-31 12:00:00	6.13097	2.87748
1970-06-01 00:00:00	6.11074	2.87163
1970-06-01 12:00:00	6.08666	2.86343
1970-06-02 00:00:00	6.06133	2.86165
1970-06-02 12:00:00	6.04358	2.85445
1970-06-03 00:00:00	6.02116	2.84448
1970-06-03 12:00:00	6.00498	2.84252
1970-06-04 00:00:00	5.96296	2.82741
1970-06-04 12:00:00	5.95116	2.82634
1970-06-05 00:00:00	5.92988	2.82679
1970-06-05 12:00:00	5.92022	2.82764
1970-06-06 00:00:00	5.8865	2.81769
1970-06-06 12:00:00	5.86523	2.81058
1970-06-07 00:00:00	5.85003	2.80873
1970-06-07 12:00:00	5.82469	2.79608
1970-06-08 00:00:00	5.81977	2.79376
1970-06-08 12:00:00	5.79594	2.78644
1970-06-09 00:00:00	5.78764	2.78416
1970-06-09 12:00:00	5.76742	2.77655
1970-06-10 00:00:00	5.76021	2.77375
1970-06-10 12:00:00	5.74025	2.76852
1970-06-11 00:00:00	5.73218	2.7669
1970-06-11 12:00:00	5.70938	2.75867
1970-06-12 00:00:00	5.70328	2.75654
1970-06-12 12:00:00	5.68196	2.74946
1970-06-13 00:00:00	5.68438	2.75043
1970-06-13 12:00:00	5.66556	2.74424
1970-06-14 00:00:00	5.66286	2.7446
1970-06-14 12:00:00	5.64053	2.73746
1970-06-15 00:00:00	5.64232	2.73781
1970-06-15 12:00:00	5.6229	2.73084
1970-06-16 00:00:00	5.62135	2.73105
1970-06-16 12:00:00	5.60421	2.72594
1970-06-17 00:00:00	5.605	2.72596
1970-06-17 12:00:00	5.58601	2.71886
1970-06-18 00:00:00	5.58066	2.71826
1970-06-18 12:00:00	5.55604	2.71154
1970-06-19 00:00:00	5.55608	2.71349
1970-06-19 12:00:00	5.53586	2.70897
1970-06-20 00:00:00	5.53496	2.70773
1970-06-20 12:00:00	5.5189	2.70094
1970-06-21 00:00:00	5.51563	2.7016
1970-06-21 12:00:00	5.49627	2.69463
1970-06-22 00:00:00	5.49773	2.69514
1970-06-22 12:00:00	5.48132	2.69021
1970-06-23 00:00:00	5.48166	2.69036
1970-06-23 12:00:00	5.4677	2.68463
1970-06-24 00:00:00	5.47195	2.6854
1970-06-24 12:00:00	5.45591	2.67935
1970-06-25 00:00:00	5.45369	2.68036
1970-06-25 12:00:00	5.45101	2.67681
1970-06-26 00:00:00	5.46199	2.67494
1970-06-26 12:00:00	5.46925	2.67395
1970-06-27 00:00:00	5.46795	2.67255
1970-06-27 12:00:00	5.46036	2.66892
1970-06-28 00:00:00	5.45449	2.66714
1970-06-28 12:00:00	5.45092	2.66695
1970-06-29 00:00:00	5.44861	2.66592
1970-06-29 12:00:00	5.44756	2.6684
1970-06-30 00:00:00	5.43775	2.65677
1970-06-30 12:00:00	5.45359	2.66265
1970-07-01 00:00:00	5.48481	2.66625
1970-07-01 12:00:00	5.49848	2.66444
1970-07-02 00:00:00	5.5181	2.66642
1970-07-02 12:00:00	5.52044	2.66778
1970-07-03 00:00:00	5.51783	2.65979
1970-07-03 12:00:00	5.51925	2.66234
1970-07-04 00:00:00	5.52374	2.66316
1970-07-04 12:00:00	5.52949	2.66817
1970-07-05 00:00:00	5.5215	2.66925
1970-07-05 12:00:00	5.52509	2.67649
1970-07-06 00:00:00	5.5075	2.67547
1970-07-06 12:00:00	5.50705	2.67757
