Data stored on MIKE 11 timesteps
Time	Karup River at Hagebro	Karup River at Karup
Unit	100001	1800	0	100001	1800	0
1970-01-01 12:00:00	15.9493	7.08271
1970-01-02 00:00:00	15.7703	7.08705
1970-01-02 12:00:00	15.3169	6.89492
1970-01-03 00:00:00	15.2404	6.8359
1970-01-03 12:00:00	14.9041	6.71165
1970-01-04 00:00:00	14.8601	6.66208
1970-01-04 12:00:00	14.5376	6.53396
1970-01-05 00:00:00	14.5582	6.51716
1970-01-05 12:00:00	14.2712	6.40766
1970-01-06 00:00:00	14.2339	6.3773
1970-01-06 12:00:00	13.925	6.24664
1970-01-07 00:00:00	13.8993	6.2282
1970-01-07 12:00:00	13.6296	6.12876
1970-01-08 00:00:00	13.6085	6.11875
1970-01-08 12:00:00	13.3516	6.02492
1970-01-09 00:00:00	13.3278	6.00706
1970-01-09 12:00:00	13.0817	5.91505
1970-01-10 00:00:00	13.07	5.90255
1970-01-10 12:00:00	12.833	5.81524
1970-01-11 00:00:00	12.8283	5.80853
1970-01-11 12:00:00	12.618	5.72884
1970-01-12 00:00:00	12.635	5.72349
1970-01-12 12:00:00	12.432	5.64805
1970-01-13 00:00:00	12.4391	5.64313
1970-01-13 12:00:00	12.2449	5.57268
1970-01-14 00:00:00	12.2497	5.56873
1970-01-14 12:00:00	12.0677	5.50097
1970-01-15 00:00:00	12.0811	5.50241
1970-01-15 12:00:00	11.9104	5.43696
1970-01-16 00:00:00	11.9175	5.4373
1970-01-16 12:00:00	11.7526	5.37658
1970-01-17 00:00:00	11.7647	5.38008
1970-01-17 12:00:00	11.6154	5.32434
1970-01-18 00:00:00	11.6262	5.32399
1970-01-18 12:00:00	11.4741	5.26539
1970-01-19 00:00:00	11.4686	5.26225
1970-01-19 12:00:00	11.327	5.20591
1970-01-20 00:00:00	11.3125	5.20226
1970-01-20 12:00:00	11.1549	5.14721
1970-01-21 00:00:00	11.148	5.1458
1970-01-21 12:00:00	11.0014	5.09136
1970-01-22 00:00:00	11.0021	5.08914
1970-01-22 12:00:00	10.869	5.03244
1970-01-23 00:00:00	10.8591	5.03134
1970-01-23 12:00:00	10.7229	4.97691
1970-01-24 00:00:00	10.7185	4.97696
1970-01-24 12:00:00	10.5882	4.92533
1970-01-25 00:00:00	10.5846	4.92595
1970-01-25 12:00:00	10.4471	4.86667
1970-01-26 00:00:00	10.4431	4.8624
1970-01-26 12:00:00	10.3217	4.81433
1970-01-27 00:00:00	10.3737	4.81846
1970-01-27 12:00:00	10.265	4.76986
1970-01-28 00:00:00	10.2735	4.77721
1970-01-28 12:00:00	10.1606	4.73006
1970-01-29 00:00:00	10.1675	4.73364
1970-01-29 12:00:00	10.0517	4.68316
1970-01-30 00:00:00	10.0549	4.68564
1970-01-30 12:00:00	9.95416	4.64631
1970-01-31 00:00:00	9.95596	4.6473
1970-01-31 12:00:00	9.85279	4.60626
1970-02-01 00:00:00	9.85075	4.60759
1970-02-01 12:00:00	9.75085	4.56657
1970-02-02 00:00:00	9.74791	4.56779
1970-02-02 12:00:00	9.63414	4.52255
1970-02-03 00:00:00	9.63002	4.52141
1970-02-03 12:00:00	9.54637	4.48411
1970-02-04 00:00:00	9.56974	4.46178
1970-02-04 12:00:00	9.57015	4.45325
1970-02-05 00:00:00	9.60627	4.45468
1970-02-05 12:00:00	9.55239	4.4332
1970-02-06 00:00:00	9.57941	4.45492
1970-02-06 12:00:00	9.50736	4.42677
1970-02-07 00:00:00	9.50841	4.43934
1970-02-07 12:00:00	9.41928	4.40047
1970-02-08 00:00:00	9.39823	4.39999
1970-02-08 12:00:00	9.32012	4.36992
1970-02-09 00:00:00	9.39667	4.37974
1970-02-09 12:00:00	9.34097	4.3564
1970-02-10 00:00:00	9.36061	4.37257
1970-02-10 12:00:00	9.29084	4.3442
1970-02-11 00:00:00	9.3403	4.35419
1970-02-11 12:00:00	9.28898	4.33029
1970-02-12 00:00:00	9.28512	4.33557
1970-02-12 12:00:00	9.21677	4.30755
1970-02-13 00:00:00	9.18524	4.30727
1970-02-13 12:00:00	9.11167	4.27602
1970-02-14 00:00:00	9.08046	4.26673
1970-02-14 12:00:00	9.01502	4.24044
1970-02-15 00:00:00	8.98535	4.23335
1970-02-15 12:00:00	8.91799	4.20628
1970-02-16 00:00:00	8.91644	4.20091
1970-02-16 12:00:00	8.85372	4.17487
1970-02-17 00:00:00	8.8351	4.16534
1970-02-17 12:00:00	8.77926	4.14037
1970-02-18 00:00:00	8.76785	4.13709
1970-02-18 12:00:00	8.70415	4.11036
1970-02-19 00:00:00	8.67912	4.10331
1970-02-19 12:00:00	8.61908	4.07847
1970-02-20 00:00:00	8.5999	4.07565
1970-02-20 12:00:00	8.53061	4.04162
1970-02-21 00:00:00	8.53458	4.03599
1970-02-21 12:00:00	8.48854	4.01727
1970-02-22 00:00:00	8.49342	4.01651
1970-02-22 12:00:00	8.43568	3.98924
1970-02-23 00:00:00	8.42911	3.98938
1970-02-23 12:00:00	8.37574	3.96737
1970-02-24 00:00:00	8.39128	3.96737
1970-02-24 12:00:00	8.33789	3.94562
1970-02-25 00:00:00	8.37535	3.94842
1970-02-25 12:00:00	8.33904	3.93131
1970-02-26 00:00:00	8.37439	3.93485
1970-02-26 12:00:00	8.33287	3.91374
1970-02-27 00:00:00	8.33025	3.91766
1970-02-27 12:00:00	8.28646	3.90024
1970-02-28 00:00:00	8.26565	3.9
1970-02-28 12:00:00	8.21443	3.87832
1970-03-01 00:00:00	8.18705	3.87694
1970-03-01 12:00:00	8.12156	3.84138
1970-03-02 00:00:00	8.1399	3.83673
1970-03-02 12:00:00	8.10453	3.82372
1970-03-03 00:00:00	8.08301	3.82335
1970-03-03 12:00:00	8.02717	3.80151
1970-03-04 00:00:00	8.01023	3.80184
1970-03-04 12:00:00	7.96606	3.7824
1970-03-05 00:00:00	7.95607	3.78152
1970-03-05 12:00:00	7.91167	3.76296
1970-03-06 00:00:00	7.89637	3.76198
1970-03-06 12:00:00	7.85281	3.74164
1970-03-07 00:00:00	7.921	3.74343
1970-03-07 12:00:00	7.89932	3.73188
1970-03-08 00:00:00	7.95745	3.73712
1970-03-08 12:00:00	7.93583	3.72482
1970-03-09 00:00:00	8.01662	3.73098
1970-03-09 12:00:00	7.99213	3.71653
1970-03-10 00:00:00	7.97351	3.72506
1970-03-10 12:00:00	7.93649	3.70902
1970-03-11 00:00:00	7.92459	3.71015
1970-03-11 12:00:00	7.88378	3.69057
1970-03-12 00:00:00	7.83808	3.68833
1970-03-12 12:00:00	7.79746	3.67189
1970-03-13 00:00:00	7.76206	3.66871
1970-03-13 12:00:00	7.71351	3.64271
1970-03-14 00:00:00	7.69307	3.64089
1970-03-14 12:00:00	7.65668	3.62727
1970-03-15 00:00:00	7.6254	3.61829
1970-03-15 12:00:00	7.58659	3.60283
1970-03-16 00:00:00	7.56287	3.6008
1970-03-16 12:00:00	7.49869	3.56302
1970-03-17 00:00:00	7.48647	3.55847
1970-03-17 12:00:00	7.46372	3.54953
1970-03-18 00:00:00	7.48733	3.53875
1970-03-18 12:00:00	7.50139	3.53876
1970-03-19 00:00:00	7.60094	3.54377
1970-03-19 12:00:00	7.59794	3.53602
1970-03-20 00:00:00	7.67737	3.56608
1970-03-20 12:00:00	7.66096	3.5565
1970-03-21 00:00:00	7.64177	3.57258
1970-03-21 12:00:00	7.60806	3.55923
1970-03-22 00:00:00	7.67186	3.56679
1970-03-22 12:00:00	7.6636	3.55832
1970-03-23 00:00:00	7.70519	3.57339
1970-03-23 12:00:00	7.69904	3.56487
1970-03-24 00:00:00	7.75962	3.58425
1970-03-24 12:00:00	7.74492	3.57721
1970-03-25 00:00:00	7.71827	3.57899
1970-03-25 12:00:00	7.68652	3.56633
1970-03-26 00:00:00	7.63165	3.55717
1970-03-26 12:00:00	7.60197	3.54635
1970-03-27 00:00:00	7.52206	3.53581
1970-03-27 12:00:00	7.49046	3.52355
1970-03-28 00:00:00	7.50569	3.509
1970-03-28 12:00:00	7.47972	3.49088
1970-03-29 00:00:00	7.49557	3.47924
1970-03-29 12:00:00	7.48281	3.47274
1970-03-30 00:00:00	7.44971	3.46727
1970-03-30 12:00:00	7.42024	3.45369
1970-03-31 00:00:00	7.40861	3.44659
1970-03-31 12:00:00	7.38588	3.43657
1970-04-01 00:00:00	7.41005	3.43814
1970-04-01 12:00:00	7.39825	3.43079
1970-04-02 00:00:00	7.49316	3.44666
1970-04-02 12:00:00	7.49233	3.43981
1970-04-03 00:00:00	7.56732	3.46284
1970-04-03 12:00:00	7.55446	3.4538
1970-04-04 00:00:00	7.52248	3.46105
1970-04-04 12:00:00	7.49778	3.45047
1970-04-05 00:00:00	7.45323	3.44522
1970-04-05 12:00:00	7.43042	3.43613
1970-04-06 00:00:00	7.42093	3.4305
1970-04-06 12:00:00	7.40665	3.42233
1970-04-07 00:00:00	7.3965	3.41708
1970-04-07 12:00:00	7.37206	3.40298
1970-04-08 00:00:00	7.31279	3.39128
1970-04-08 12:00:00	7.28789	3.38197
1970-04-09 00:00:00	7.26875	3.37651
1970-04-09 12:00:00	7.24362	3.36413
1970-04-10 00:00:00	7.19251	3.35258
1970-04-10 12:00:00	7.16984	3.34312
1970-04-11 00:00:00	7.13604	3.33301
1970-04-11 12:00:00	7.1217	3.32362
1970-04-12 00:00:00	7.15295	3.31479
1970-04-12 12:00:00	7.18121	3.31383
1970-04-13 00:00:00	7.18902	3.31081
1970-04-13 12:00:00	7.19548	3.31375
1970-04-14 00:00:00	7.14875	3.30979
1970-04-14 12:00:00	7.12696	3.30108
1970-04-15 00:00:00	7.10088	3.29932
1970-04-15 12:00:00	7.08074	3.29172
1970-04-16 00:00:00	7.04547	3.28491
1970-04-16 12:00:00	7.01223	3.2665
1970-04-17 00:00:00	7.02672	3.26097
1970-04-17 12:00:00	7.01059	3.25204
1970-04-18 00:00:00	7.01267	3.25384
1970-04-18 12:00:00	6.99598	3.24616
1970-04-19 00:00:00	6.9827	3.24082
1970-04-19 12:00:00	6.96089	3.23068
1970-04-20 00:00:00	6.97201	3.2334
1970-04-20 12:00:00	6.95516	3.22399
1970-04-21 00:00:00	6.95505	3.22681
1970-04-21 12:00:00	6.93644	3.21966
1970-04-22 00:00:00	6.93758	3.21926
1970-04-22 12:00:00	6.91978	3.20981
1970-04-23 00:00:00	6.99243	3.21717
1970-04-23 12:00:00	6.99984	3.21652
1970-04-24 00:00:00	7.22056	3.25762
1970-04-24 12:00:00	7.24219	3.25621
1970-04-25 00:00:00	7.28838	3.28596
1970-04-25 12:00:00	7.27653	3.28129
1970-04-26 00:00:00	7.24629	3.2894
1970-04-26 12:00:00	7.22467	3.28102
1970-04-27 00:00:00	7.19725	3.27616
1970-04-27 12:00:00	7.18347	3.27011
1970-04-28 00:00:00	7.10841	3.26034
1970-04-28 12:00:00	7.08523	3.25064
1970-04-29 00:00:00	7.01114	3.23204
1970-04-29 12:00:00	6.98977	3.22331
1970-04-30 00:00:00	7.05565	3.22002
1970-04-30 12:00:00	7.06288	3.21669
1970-05-01 00:00:00	7.0389	3.21831
1970-05-01 12:00:00	7.02087	3.21012
1970-05-02 00:00:00	6.97886	3.20792
1970-05-02 12:00:00	6.95437	3.19852
1970-05-03 00:00:00	6.90854	3.19141
1970-05-03 12:00:00	6.8875	3.18301
1970-05-04 00:00:00	6.81883	3.16354
1970-05-04 12:00:00	6.79338	3.15204
1970-05-05 00:00:00	6.72975	3.13125
1970-05-05 12:00:00	6.70338	3.12108
1970-05-06 00:00:00	6.64257	3.10211
1970-05-06 12:00:00	6.60838	3.08476
1970-05-07 00:00:00	6.54383	3.06553
1970-05-07 12:00:00	6.51526	3.0556
1970-05-08 00:00:00	6.47941	3.0417
1970-05-08 12:00:00	6.45023	3.02911
1970-05-09 00:00:00	6.42134	3.02065
1970-05-09 12:00:00	6.39277	3.01033
1970-05-10 00:00:00	6.37605	3.00289
1970-05-10 12:00:00	6.35131	2.99194
1970-05-11 00:00:00	6.32644	2.98597
1970-05-11 12:00:00	6.29935	2.97528
1970-05-12 00:00:00	6.28092	2.97052
1970-05-12 12:00:00	6.25009	2.95884
1970-05-13 00:00:00	6.25842	2.96121
1970-05-13 12:00:00	6.23412	2.95197
1970-05-14 00:00:00	6.23687	2.94944
1970-05-14 12:00:00	6.20129	2.92577
1970-05-15 00:00:00	6.20972	2.92906
1970-05-15 12:00:00	6.18659	2.9179
1970-05-16 00:00:00	6.18086	2.9221
1970-05-16 12:00:00	6.15507	2.91234
1970-05-17 00:00:00	6.15443	2.91208
1970-05-17 12:00:00	6.13198	2.90378
1970-05-18 00:00:00	6.12636	2.90302
1970-05-18 12:00:00	6.10451	2.89524
1970-05-19 00:00:00	6.11093	2.89498
1970-05-19 12:00:00	6.08775	2.88724
1970-05-20 00:00:00	6.08976	2.88648
1970-05-20 12:00:00	6.07076	2.87825
1970-05-21 00:00:00	6.07555	2.87178
1970-05-21 12:00:00	6.08622	2.87252
1970-05-22 00:00:00	6.10407	2.87233
1970-05-22 12:00:00	6.12507	2.87023
1970-05-23 00:00:00	6.13789	2.86836
1970-05-23 12:00:00	6.14181	2.8694
1970-05-24 00:00:00	6.13971	2.87553
1970-05-24 12:00:00	6.12512	2.87495
1970-05-25 00:00:00	6.10565	2.87286
1970-05-25 12:00:00	6.09513	2.86886
1970-05-26 00:00:00	6.07839	2.86207
1970-05-26 12:00:00	6.06778	2.86119
1970-05-27 00:00:00	6.04391	2.85329
1970-05-27 12:00:00	6.03732	2.8522
1970-05-28 00:00:00	6.01927	2.84434
1970-05-28 12:00:00	6.02461	2.84572
1970-05-29 00:00:00	5.99401	2.83777
1970-05-29 12:00:00	5.97571	2.83221
1970-05-30 00:00:00	5.97532	2.82637
1970-05-30 12:00:00	5.98419	2.82503
1970-05-31 00:00:00	5.9661	2.81759
1970-05-31 12:00:00	5.95085	2.81433
1970-06-01 00:00:00	5.92804	2.80702
1970-06-01 12:00:00	5.91272	2.80037
1970-06-02 00:00:00	5.88739	2.79508
1970-06-02 12:00:00	5.8812	2.7915
1970-06-03 00:00:00	5.85037	2.7732
1970-06-03 12:00:00	5.83759	2.77733
1970-06-04 00:00:00	5.80932	2.76623
1970-06-04 12:00:00	5.79484	2.76404
1970-06-05 00:00:00	5.76202	2.7526
1970-06-05 12:00:00	5.76138	2.75374
1970-06-06 00:00:00	5.73246	2.74904
1970-06-06 12:00:00	5.70882	2.74015
1970-06-07 00:00:00	5.69706	2.73794
1970-06-07 12:00:00	5.67336	2.72751
1970-06-08 00:00:00	5.66269	2.72568
1970-06-08 12:00:00	5.64192	2.71913
1970-06-09 00:00:00	5.63701	2.71709
1970-06-09 12:00:00	5.60923	2.70649
1970-06-10 00:00:00	5.60364	2.70511
1970-06-10 12:00:00	5.5808	2.69562
1970-06-11 00:00:00	5.57819	2.6948
1970-06-11 12:00:00	5.5583	2.68642
1970-06-12 00:00:00	5.55455	2.68657
1970-06-12 12:00:00	5.53102	2.67824
1970-06-13 00:00:00	5.5293	2.67805
1970-06-13 12:00:00	5.50635	2.66806
1970-06-14 00:00:00	5.5082	2.66859
1970-06-14 12:00:00	5.48724	2.66113
1970-06-15 00:00:00	5.48401	2.66013
1970-06-15 12:00:00	5.46429	2.65111
1970-06-16 00:00:00	5.46275	2.65099
1970-06-16 12:00:00	5.44319	2.64276
1970-06-17 00:00:00	5.44402	2.64344
1970-06-17 12:00:00	5.42388	2.635
1970-06-18 00:00:00	5.4227	2.63538
1970-06-18 12:00:00	5.40219	2.62678
1970-06-19 00:00:00	5.40491	2.62731
1970-06-19 12:00:00	5.38313	2.61555
1970-06-20 00:00:00	5.38237	2.61692
1970-06-20 12:00:00	5.3643	2.61108
1970-06-21 00:00:00	5.36482	2.61105
1970-06-21 12:00:00	5.34718	2.6039
1970-06-22 00:00:00	5.34553	2.60495
1970-06-22 12:00:00	5.31959	2.59083
1970-06-23 00:00:00	5.32373	2.59145
1970-06-23 12:00:00	5.30993	2.58723
1970-06-24 00:00:00	5.31178	2.58778
1970-06-24 12:00:00	5.2963	2.58179
1970-06-25 00:00:00	5.29845	2.58268
1970-06-25 12:00:00	5.297	2.58026
1970-06-26 00:00:00	5.30181	2.57902
1970-06-26 12:00:00	5.3126	2.57708
1970-06-27 00:00:00	5.30848	2.57098
1970-06-27 12:00:00	5.30413	2.56997
1970-06-28 00:00:00	5.30279	2.57279
1970-06-28 12:00:00	5.29874	2.57201
1970-06-29 00:00:00	5.28228	2.55906
1970-06-29 12:00:00	5.28416	2.56278
1970-06-30 00:00:00	5.28689	2.56053
1970-06-30 12:00:00	5.29222	2.55934
1970-07-01 00:00:00	5.31405	2.56012
1970-07-01 12:00:00	5.34275	2.56098
1970-07-02 00:00:00	5.35953	2.56436
1970-07-02 12:00:00	5.36254	2.56507
1970-07-03 00:00:00	5.3696	2.56977
1970-07-03 12:00:00	5.37003	2.57142
1970-07-04 00:00:00	5.37876	2.57151
1970-07-04 12:00:00	5.38793	2.57518
1970-07-05 00:00:00	5.37193	2.57311
1970-07-05 12:00:00	5.37433	2.57807
1970-07-06 00:00:00	5.35868	2.57726
1970-07-06 12:00:00	5.36003	2.58013
