Data stored on MIKE 11 timesteps
Time	Karup River at Hagebro	Karup River at Karup
Unit	100001	1800	0	100001	1800	0
1970-12-01 00:00:00	5.88512	2.42054
1970-12-02 00:00:00	6.19588	2.40236
1970-12-03 00:00:00	6.286	2.55328
1970-12-04 00:00:00	6.43513	2.58316
1970-12-05 00:00:00	6.59381	2.63749
1970-12-06 00:00:00	6.61446	2.65927
1970-12-07 00:00:00	6.6618	2.63871
1970-12-08 00:00:00	6.60592	2.67122
1970-12-09 00:00:00	6.58807	2.61217
1970-12-10 00:00:00	6.4209	2.67072
1970-12-11 00:00:00	6.33054	2.64009
1970-12-12 00:00:00	6.35975	2.57453
1970-12-13 00:00:00	6.2253	2.61277
1970-12-14 00:00:00	6.23309	2.6033
1970-12-15 00:00:00	6.2141	2.59217
1970-12-16 00:00:00	6.33032	2.51037
1970-12-17 00:00:00	6.08674	2.57842
1970-12-18 00:00:00	6.24201	2.552
1970-12-19 00:00:00	6.22201	2.55517
1970-12-20 00:00:00	6.22095	2.50369
1970-12-21 00:00:00	6.04486	2.55466
1970-12-22 00:00:00	6.23229	2.52009
1970-12-23 00:00:00	6.05562	2.51997
1970-12-24 00:00:00	6.06545	2.50264
1970-12-25 00:00:00	6.02674	2.54956
1970-12-26 00:00:00	6.0153	2.54418
1970-12-27 00:00:00	6.0379	2.53261
1970-12-28 00:00:00	6.08137	2.49306
1970-12-29 00:00:00	5.95989	2.51813
1970-12-30 00:00:00	5.97752	2.55093
1970-12-31 00:00:00	5.9082	2.52684
1971-01-01 00:00:00	6.04123	2.50245
1971-01-02 00:00:00	6.09719	2.57565
1971-01-03 00:00:00	5.99015	2.54105
1971-01-04 00:00:00	5.98147	2.51048
1971-01-05 00:00:00	6.09134	2.57533
1971-01-06 00:00:00	5.98904	2.55663
1971-01-07 00:00:00	6.09003	2.59409
1971-01-08 00:00:00	6.08343	2.55934
1971-01-09 00:00:00	6.19665	2.56643
1971-01-10 00:00:00	6.16773	2.61466
1971-01-11 00:00:00	6.27728	2.58819
1971-01-12 00:00:00	6.12981	2.61011
1971-01-13 00:00:00	6.14294	2.55977
1971-01-14 00:00:00	6.08995	2.61901
1971-01-15 00:00:00	6.09945	2.58535
1971-01-16 00:00:00	6.01782	2.60062
1971-01-17 00:00:00	6.03532	2.56337
1971-01-18 00:00:00	6.02844	2.56721
1971-01-19 00:00:00	5.97425	2.59423
1971-01-20 00:00:00	6.03163	2.58176
1971-01-21 00:00:00	5.94467	2.59402
1971-01-22 00:00:00	5.95132	2.6077
1971-01-23 00:00:00	6.06445	2.61444
1971-01-24 00:00:00	6.10759	2.5802
1971-01-25 00:00:00	6.13438	2.63116
1971-01-26 00:00:00	6.3389	2.56731
1971-01-27 00:00:00	6.34761	2.66584
1971-01-28 00:00:00	6.3722	2.62944
1971-01-29 00:00:00	6.3266	2.69112
1971-01-30 00:00:00	6.48489	2.6848
1971-01-31 00:00:00	6.30005	2.72592
1971-02-01 00:00:00	6.33712	2.6981
1971-02-02 00:00:00	6.34271	2.68387
1971-02-03 00:00:00	6.27634	2.68208
1971-02-04 00:00:00	6.41906	2.69202
1971-02-05 00:00:00	6.24113	2.72055
1971-02-06 00:00:00	6.15047	2.70713
1971-02-07 00:00:00	6.06483	2.69854
1971-02-08 00:00:00	6.00391	2.66312
1971-02-09 00:00:00	5.99362	2.64971
1971-02-10 00:00:00	6.03465	2.58059
1971-02-11 00:00:00	6.09666	2.63026
1971-02-12 00:00:00	5.97491	2.55918
1971-02-13 00:00:00	5.82572	2.54827
1971-02-14 00:00:00	6.10991	2.60939
1971-02-15 00:00:00	6.25883	2.61004
1971-02-16 00:00:00	6.1586	2.64371
1971-02-17 00:00:00	6.35995	2.68006
1971-02-18 00:00:00	6.22711	2.64843
1971-02-19 00:00:00	6.42576	2.73863
1971-02-20 00:00:00	6.35624	2.73083
1971-02-21 00:00:00	6.54434	2.67754
1971-02-22 00:00:00	6.50339	2.68409
1971-02-23 00:00:00	6.28378	2.68351
1971-02-24 00:00:00	6.21786	2.72779
1971-02-25 00:00:00	6.25727	2.64987
1971-02-26 00:00:00	6.22796	2.67189
1971-02-27 00:00:00	6.12068	2.64118
1971-02-28 00:00:00	6.19071	2.59568
1971-03-01 00:00:00	6.08795	2.59322
1971-03-02 00:00:00	6.14888	2.54754
1971-03-03 00:00:00	5.82406	2.55632
1971-03-04 00:00:00	6.07586	2.53534
1971-03-05 00:00:00	5.94852	2.54248
1971-03-06 00:00:00	5.84164	2.60255
1971-03-07 00:00:00	5.81968	2.51671
