Data stored on MIKE 11 timesteps
Time	Karup River at Hagebro	Karup River at Karup
Unit	100001	1800	0	100001	1800	0
1970-01-01 12:00:00	15.9493	7.08271
1970-01-02 00:00:00	15.7703	7.0871
1970-01-02 12:00:00	15.3172	6.89529
1970-01-03 00:00:00	15.2406	6.83619
1970-01-03 12:00:00	14.9047	6.71269
1970-01-04 00:00:00	14.8608	6.66317
1970-01-04 12:00:00	14.5389	6.53588
1970-01-05 00:00:00	14.5592	6.51881
1970-01-05 12:00:00	14.2691	6.40639
1970-01-06 00:00:00	14.2307	6.37636
1970-01-06 12:00:00	13.944	6.26783
1970-01-07 00:00:00	13.9195	6.24887
1970-01-07 12:00:00	13.6442	6.14403
1970-01-08 00:00:00	13.6229	6.13373
1970-01-08 12:00:00	13.3611	6.03589
1970-01-09 00:00:00	13.3361	6.01759
1970-01-09 12:00:00	13.089	5.92337
1970-01-10 00:00:00	13.0796	5.91177
1970-01-10 12:00:00	12.8446	5.82711
1970-01-11 00:00:00	12.8412	5.82133
1970-01-11 12:00:00	12.6291	5.74035
1970-01-12 00:00:00	12.6449	5.73442
1970-01-12 12:00:00	12.4435	5.65931
1970-01-13 00:00:00	12.4515	5.65436
1970-01-13 12:00:00	12.253	5.5802
1970-01-14 00:00:00	12.2576	5.57636
1970-01-14 12:00:00	12.0777	5.50883
1970-01-15 00:00:00	12.091	5.51003
1970-01-15 12:00:00	11.9188	5.44379
1970-01-16 00:00:00	11.9267	5.44469
1970-01-16 12:00:00	11.7612	5.38262
1970-01-17 00:00:00	11.7721	5.38605
1970-01-17 12:00:00	11.6213	5.33176
1970-01-18 00:00:00	11.6361	5.33182
1970-01-18 12:00:00	11.4892	5.2732
1970-01-19 00:00:00	11.4827	5.27004
1970-01-19 12:00:00	11.3379	5.21167
1970-01-20 00:00:00	11.3216	5.20754
1970-01-20 12:00:00	11.163	5.15163
1970-01-21 00:00:00	11.1577	5.15021
1970-01-21 12:00:00	11.0126	5.09655
1970-01-22 00:00:00	11.0098	5.09436
1970-01-22 12:00:00	10.875	5.0359
1970-01-23 00:00:00	10.867	5.03489
1970-01-23 12:00:00	10.7288	4.97884
1970-01-24 00:00:00	10.7245	4.97879
1970-01-24 12:00:00	10.5936	4.9275
1970-01-25 00:00:00	10.5911	4.92812
1970-01-25 12:00:00	10.4567	4.87145
1970-01-26 00:00:00	10.452	4.8668
1970-01-26 12:00:00	10.3293	4.81764
1970-01-27 00:00:00	10.3833	4.82206
1970-01-27 12:00:00	10.2743	4.77299
1970-01-28 00:00:00	10.2821	4.78051
1970-01-28 12:00:00	10.1709	4.73558
1970-01-29 00:00:00	10.1773	4.73927
1970-01-29 12:00:00	10.061	4.68834
1970-01-30 00:00:00	10.0606	4.69068
1970-01-30 12:00:00	9.95875	4.65017
1970-01-31 00:00:00	9.96357	4.6511
1970-01-31 12:00:00	9.86138	4.61033
1970-02-01 00:00:00	9.85905	4.61168
1970-02-01 12:00:00	9.7598	4.5712
1970-02-02 00:00:00	9.75795	4.57247
1970-02-02 12:00:00	9.6534	4.52737
1970-02-03 00:00:00	9.64495	4.52624
1970-02-03 12:00:00	9.55808	4.48811
1970-02-04 00:00:00	9.58322	4.45931
1970-02-04 12:00:00	9.58144	4.45182
1970-02-05 00:00:00	9.62633	4.45351
1970-02-05 12:00:00	9.57368	4.43329
1970-02-06 00:00:00	9.58996	4.45504
1970-02-06 12:00:00	9.51601	4.42725
1970-02-07 00:00:00	9.51464	4.43911
1970-02-07 12:00:00	9.42792	4.40197
1970-02-08 00:00:00	9.40798	4.40204
1970-02-08 12:00:00	9.33003	4.374
1970-02-09 00:00:00	9.41409	4.38408
1970-02-09 12:00:00	9.35824	4.35909
1970-02-10 00:00:00	9.37093	4.37524
1970-02-10 12:00:00	9.30172	4.3481
1970-02-11 00:00:00	9.3534	4.35806
1970-02-11 12:00:00	9.30082	4.33386
1970-02-12 00:00:00	9.29649	4.339
1970-02-12 12:00:00	9.23056	4.31323
1970-02-13 00:00:00	9.20014	4.31304
1970-02-13 12:00:00	9.1252	4.27992
1970-02-14 00:00:00	9.10205	4.27376
1970-02-14 12:00:00	9.03322	4.24461
1970-02-15 00:00:00	8.99638	4.23468
1970-02-15 12:00:00	8.93103	4.20881
1970-02-16 00:00:00	8.93405	4.20348
1970-02-16 12:00:00	8.87017	4.1751
1970-02-17 00:00:00	8.84281	4.16578
1970-02-17 12:00:00	8.78582	4.14273
1970-02-18 00:00:00	8.7739	4.13922
1970-02-18 12:00:00	8.71426	4.11237
1970-02-19 00:00:00	8.69239	4.10509
1970-02-19 12:00:00	8.62887	4.07787
1970-02-20 00:00:00	8.6099	4.07516
1970-02-20 12:00:00	8.54229	4.04173
1970-02-21 00:00:00	8.54858	4.03616
1970-02-21 12:00:00	8.50194	4.01781
1970-02-22 00:00:00	8.50528	4.01764
1970-02-22 12:00:00	8.44964	3.99225
1970-02-23 00:00:00	8.44628	3.99247
1970-02-23 12:00:00	8.39394	3.97019
1970-02-24 00:00:00	8.40897	3.97121
1970-02-24 12:00:00	8.35411	3.94852
1970-02-25 00:00:00	8.39033	3.95146
1970-02-25 12:00:00	8.34259	3.9226
1970-02-26 00:00:00	8.3827	3.92706
1970-02-26 12:00:00	8.34378	3.90788
1970-02-27 00:00:00	8.33762	3.91132
1970-02-27 12:00:00	8.29349	3.89329
1970-02-28 00:00:00	8.27403	3.8939
1970-02-28 12:00:00	8.22411	3.87285
1970-03-01 00:00:00	8.19767	3.87116
1970-03-01 12:00:00	8.13071	3.83356
1970-03-02 00:00:00	8.1521	3.83222
1970-03-02 12:00:00	8.11999	3.8214
1970-03-03 00:00:00	8.09508	3.81668
1970-03-03 12:00:00	8.04526	3.79599
1970-03-04 00:00:00	8.03116	3.79644
1970-03-04 12:00:00	7.98893	3.77861
1970-03-05 00:00:00	7.977	3.77776
1970-03-05 12:00:00	7.93344	3.75949
1970-03-06 00:00:00	7.9221	3.75839
1970-03-06 12:00:00	7.87825	3.73868
1970-03-07 00:00:00	7.9421	3.74111
1970-03-07 12:00:00	7.9232	3.73093
1970-03-08 00:00:00	7.98115	3.73515
1970-03-08 12:00:00	7.95754	3.72141
1970-03-09 00:00:00	8.04824	3.72775
1970-03-09 12:00:00	8.02704	3.71473
1970-03-10 00:00:00	8.00864	3.72383
1970-03-10 12:00:00	7.97089	3.70818
1970-03-11 00:00:00	7.94674	3.70909
1970-03-11 12:00:00	7.90729	3.69103
1970-03-12 00:00:00	7.87181	3.68973
1970-03-12 12:00:00	7.83367	3.67334
1970-03-13 00:00:00	7.79766	3.66852
1970-03-13 12:00:00	7.74983	3.64378
1970-03-14 00:00:00	7.72531	3.64121
1970-03-14 12:00:00	7.69014	3.62743
1970-03-15 00:00:00	7.66244	3.61898
1970-03-15 12:00:00	7.62193	3.60147
1970-03-16 00:00:00	7.59591	3.59922
1970-03-16 12:00:00	7.55258	3.58395
1970-03-17 00:00:00	7.53721	3.57826
1970-03-17 12:00:00	7.51232	3.56132
1970-03-18 00:00:00	7.54486	3.55165
1970-03-18 12:00:00	7.55694	3.5501
1970-03-19 00:00:00	7.65688	3.55509
1970-03-19 12:00:00	7.65376	3.54783
1970-03-20 00:00:00	7.73358	3.57773
1970-03-20 12:00:00	7.71615	3.56761
1970-03-21 00:00:00	7.71276	3.58354
1970-03-21 12:00:00	7.67989	3.57126
1970-03-22 00:00:00	7.73863	3.57844
1970-03-22 12:00:00	7.72954	3.56883
1970-03-23 00:00:00	7.77651	3.58443
1970-03-23 12:00:00	7.76901	3.57441
1970-03-24 00:00:00	7.81974	3.59385
1970-03-24 12:00:00	7.8042	3.58524
1970-03-25 00:00:00	7.75596	3.5872
1970-03-25 12:00:00	7.72384	3.57424
1970-03-26 00:00:00	7.66551	3.5651
1970-03-26 12:00:00	7.63533	3.55193
1970-03-27 00:00:00	7.58359	3.54154
1970-03-27 12:00:00	7.55304	3.52869
1970-03-28 00:00:00	7.5729	3.51412
1970-03-28 12:00:00	7.54391	3.49317
1970-03-29 00:00:00	7.56152	3.48155
1970-03-29 12:00:00	7.54733	3.47232
1970-03-30 00:00:00	7.52621	3.46715
1970-03-30 12:00:00	7.49863	3.45479
1970-03-31 00:00:00	7.4843	3.44766
1970-03-31 12:00:00	7.45946	3.43733
1970-04-01 00:00:00	7.47265	3.43868
1970-04-01 12:00:00	7.4597	3.42928
1970-04-02 00:00:00	7.53767	3.4456
1970-04-02 12:00:00	7.53836	3.43969
1970-04-03 00:00:00	7.61806	3.46325
1970-04-03 12:00:00	7.60831	3.45414
1970-04-04 00:00:00	7.57554	3.46131
1970-04-04 12:00:00	7.55444	3.45298
1970-04-05 00:00:00	7.51329	3.44745
1970-04-05 12:00:00	7.48955	3.43729
1970-04-06 00:00:00	7.48131	3.43154
1970-04-06 12:00:00	7.46846	3.4231
1970-04-07 00:00:00	7.46185	3.41778
1970-04-07 12:00:00	7.44442	3.40822
1970-04-08 00:00:00	7.38359	3.39569
1970-04-08 12:00:00	7.3568	3.38457
1970-04-09 00:00:00	7.34052	3.37929
1970-04-09 12:00:00	7.31857	3.36859
1970-04-10 00:00:00	7.27258	3.35688
1970-04-10 12:00:00	7.24979	3.34653
1970-04-11 00:00:00	7.21152	3.33648
1970-04-11 12:00:00	7.21193	3.32757
1970-04-12 00:00:00	7.25151	3.32498
1970-04-12 12:00:00	7.27459	3.32385
1970-04-13 00:00:00	7.28221	3.31623
1970-04-13 12:00:00	7.28494	3.32187
1970-04-14 00:00:00	7.25509	3.31336
1970-04-14 12:00:00	7.23761	3.31101
1970-04-15 00:00:00	7.18	3.29584
1970-04-15 12:00:00	7.18096	3.29737
1970-04-16 00:00:00	7.11232	3.27772
1970-04-16 12:00:00	7.09097	3.26898
1970-04-17 00:00:00	7.11226	3.26853
1970-04-17 12:00:00	7.09641	3.25542
1970-04-18 00:00:00	7.09789	3.25141
1970-04-18 12:00:00	7.08127	3.2434
1970-04-19 00:00:00	7.07646	3.24467
1970-04-19 12:00:00	7.0537	3.23511
1970-04-20 00:00:00	7.06006	3.23961
1970-04-20 12:00:00	7.04592	3.23251
1970-04-21 00:00:00	7.04708	3.23558
1970-04-21 12:00:00	7.02269	3.22585
1970-04-22 00:00:00	7.00976	3.21919
1970-04-22 12:00:00	7.01308	3.21243
1970-04-23 00:00:00	7.05871	3.20902
1970-04-23 12:00:00	7.11187	3.21655
1970-04-24 00:00:00	7.2681	3.2406
1970-04-24 12:00:00	7.33706	3.25352
1970-04-25 00:00:00	7.34271	3.27809
1970-04-25 12:00:00	7.36572	3.28783
1970-04-26 00:00:00	7.31378	3.28865
1970-04-26 12:00:00	7.29662	3.28285
1970-04-27 00:00:00	7.28916	3.28291
1970-04-27 12:00:00	7.28236	3.27851
1970-04-28 00:00:00	7.19406	3.2622
1970-04-28 12:00:00	7.17088	3.25321
1970-04-29 00:00:00	7.09796	3.23499
1970-04-29 12:00:00	7.06595	3.21715
1970-04-30 00:00:00	7.14217	3.21572
1970-04-30 12:00:00	7.14712	3.21033
1970-05-01 00:00:00	7.11816	3.21328
1970-05-01 12:00:00	7.0953	3.20343
1970-05-02 00:00:00	7.0569	3.20188
1970-05-02 12:00:00	7.03385	3.19328
1970-05-03 00:00:00	6.97658	3.1858
1970-05-03 12:00:00	6.95107	3.17559
1970-05-04 00:00:00	6.89783	3.1559
1970-05-04 12:00:00	6.87627	3.14782
1970-05-05 00:00:00	6.79926	3.12762
1970-05-05 12:00:00	6.77258	3.11745
1970-05-06 00:00:00	6.7027	3.09703
1970-05-06 12:00:00	6.67336	3.0856
1970-05-07 00:00:00	6.6054	3.06613
1970-05-07 12:00:00	6.56886	3.04932
1970-05-08 00:00:00	6.53051	3.035
1970-05-08 12:00:00	6.5044	3.02562
1970-05-09 00:00:00	6.48064	3.01794
1970-05-09 12:00:00	6.45398	3.00863
1970-05-10 00:00:00	6.42899	3.00115
1970-05-10 12:00:00	6.40415	2.9905
1970-05-11 00:00:00	6.38068	2.98438
1970-05-11 12:00:00	6.35445	2.975
1970-05-12 00:00:00	6.33824	2.97018
1970-05-12 12:00:00	6.31066	2.9598
1970-05-13 00:00:00	6.31943	2.96234
1970-05-13 12:00:00	6.29628	2.95263
1970-05-14 00:00:00	6.30206	2.95056
1970-05-14 12:00:00	6.28221	2.94291
1970-05-15 00:00:00	6.28166	2.94573
1970-05-15 12:00:00	6.257	2.93657
1970-05-16 00:00:00	6.25186	2.94083
1970-05-16 12:00:00	6.22375	2.92851
1970-05-17 00:00:00	6.22626	2.92882
1970-05-17 12:00:00	6.20277	2.91966
1970-05-18 00:00:00	6.19817	2.91929
1970-05-18 12:00:00	6.17954	2.91188
1970-05-19 00:00:00	6.18787	2.91304
1970-05-19 12:00:00	6.1615	2.90539
1970-05-20 00:00:00	6.1618	2.90368
1970-05-20 12:00:00	6.14157	2.89432
1970-05-21 00:00:00	6.15389	2.89358
1970-05-21 12:00:00	6.14639	2.88245
1970-05-22 00:00:00	6.17184	2.881
1970-05-22 12:00:00	6.19599	2.88388
1970-05-23 00:00:00	6.20989	2.88423
1970-05-23 12:00:00	6.21366	2.88769
1970-05-24 00:00:00	6.21565	2.89494
1970-05-24 12:00:00	6.20756	2.89573
1970-05-25 00:00:00	6.19294	2.89281
1970-05-25 12:00:00	6.18178	2.89236
1970-05-26 00:00:00	6.16175	2.88598
1970-05-26 12:00:00	6.15362	2.88673
1970-05-27 00:00:00	6.11288	2.87189
1970-05-27 12:00:00	6.12047	2.87529
1970-05-28 00:00:00	6.09866	2.87152
1970-05-28 12:00:00	6.08137	2.86369
1970-05-29 00:00:00	6.0574	2.86153
1970-05-29 12:00:00	6.04007	2.8575
1970-05-30 00:00:00	6.06386	2.85396
1970-05-30 12:00:00	6.06681	2.85316
1970-05-31 00:00:00	6.04522	2.84808
1970-05-31 12:00:00	6.01797	2.84132
1970-06-01 00:00:00	5.99661	2.8362
1970-06-01 12:00:00	5.98071	2.82977
1970-06-02 00:00:00	5.95182	2.82404
1970-06-02 12:00:00	5.94088	2.81851
1970-06-03 00:00:00	5.91659	2.80317
1970-06-03 12:00:00	5.90465	2.80377
1970-06-04 00:00:00	5.86835	2.79434
1970-06-04 12:00:00	5.86174	2.79249
1970-06-05 00:00:00	5.82494	2.77837
1970-06-05 12:00:00	5.82607	2.78196
1970-06-06 00:00:00	5.79203	2.7749
1970-06-06 12:00:00	5.76982	2.76712
1970-06-07 00:00:00	5.75702	2.7657
1970-06-07 12:00:00	5.73606	2.7586
1970-06-08 00:00:00	5.72729	2.7569
1970-06-08 12:00:00	5.70089	2.7449
1970-06-09 00:00:00	5.69026	2.74219
1970-06-09 12:00:00	5.66557	2.73313
1970-06-10 00:00:00	5.6626	2.73517
1970-06-10 12:00:00	5.64161	2.72765
1970-06-11 00:00:00	5.63584	2.72274
1970-06-11 12:00:00	5.61168	2.71501
1970-06-12 00:00:00	5.60623	2.71602
1970-06-12 12:00:00	5.58379	2.70855
1970-06-13 00:00:00	5.58722	2.70941
1970-06-13 12:00:00	5.56304	2.70131
1970-06-14 00:00:00	5.55987	2.70137
1970-06-14 12:00:00	5.54293	2.69526
1970-06-15 00:00:00	5.54551	2.69532
1970-06-15 12:00:00	5.52567	2.68804
1970-06-16 00:00:00	5.52153	2.68736
1970-06-16 12:00:00	5.50059	2.67912
1970-06-17 00:00:00	5.50412	2.68059
1970-06-17 12:00:00	5.48504	2.67349
1970-06-18 00:00:00	5.48438	2.67374
1970-06-18 12:00:00	5.46682	2.6661
1970-06-19 00:00:00	5.46324	2.66672
1970-06-19 12:00:00	5.44335	2.65996
1970-06-20 00:00:00	5.44217	2.66126
1970-06-20 12:00:00	5.42257	2.65405
1970-06-21 00:00:00	5.41988	2.65391
1970-06-21 12:00:00	5.40175	2.6473
1970-06-22 00:00:00	5.40387	2.64706
1970-06-22 12:00:00	5.38679	2.64055
1970-06-23 00:00:00	5.39205	2.64249
1970-06-23 12:00:00	5.37108	2.63047
1970-06-24 00:00:00	5.37243	2.63076
1970-06-24 12:00:00	5.35583	2.62497
1970-06-25 00:00:00	5.35639	2.62487
1970-06-25 12:00:00	5.36021	2.62701
1970-06-26 00:00:00	5.37048	2.6258
1970-06-26 12:00:00	5.38271	2.62391
1970-06-27 00:00:00	5.38091	2.62213
1970-06-27 12:00:00	5.37652	2.62157
1970-06-28 00:00:00	5.37217	2.62053
1970-06-28 12:00:00	5.36712	2.61865
1970-06-29 00:00:00	5.35477	2.61093
1970-06-29 12:00:00	5.3565	2.61449
1970-06-30 00:00:00	5.35143	2.60721
1970-06-30 12:00:00	5.35986	2.60908
1970-07-01 00:00:00	5.39114	2.60784
1970-07-01 12:00:00	5.42356	2.61009
1970-07-02 00:00:00	5.43707	2.61258
1970-07-02 12:00:00	5.44422	2.61552
1970-07-03 00:00:00	5.4553	2.62125
1970-07-03 12:00:00	5.46201	2.62528
1970-07-04 00:00:00	5.47717	2.62988
1970-07-04 12:00:00	5.47519	2.63447
1970-07-05 00:00:00	5.45753	2.63144
1970-07-05 12:00:00	5.45585	2.63681
1970-07-06 00:00:00	5.44696	2.63782
1970-07-06 12:00:00	5.44532	2.64092
