Data stored on MIKE 11 timesteps
Time	Karup River at Hagebro	Karup River at Karup
Unit	100001	1800	0	100001	1800	0
1970-01-01 12:00:00	15.9493	7.08271
1970-01-02 00:00:00	15.7703	7.0871
1970-01-02 12:00:00	15.3173	6.89529
1970-01-03 00:00:00	15.2408	6.83628
1970-01-03 12:00:00	14.9035	6.7128
1970-01-04 00:00:00	14.8669	6.66485
1970-01-04 12:00:00	14.5492	6.53813
1970-01-05 00:00:00	14.5516	6.5177
1970-01-05 12:00:00	14.2559	6.40412
1970-01-06 00:00:00	14.2355	6.37698
1970-01-06 12:00:00	13.9512	6.26954
1970-01-07 00:00:00	13.9163	6.25038
1970-01-07 12:00:00	13.641	6.14555
1970-01-08 00:00:00	13.6277	6.13523
1970-01-08 12:00:00	13.368	6.03752
1970-01-09 00:00:00	13.3435	6.01906
1970-01-09 12:00:00	13.0947	5.92481
1970-01-10 00:00:00	13.0849	5.91377
1970-01-10 12:00:00	12.854	5.82975
1970-01-11 00:00:00	12.8468	5.82234
1970-01-11 12:00:00	12.63	5.73882
1970-01-12 00:00:00	12.6439	5.73358
1970-01-12 12:00:00	12.4431	5.6601
1970-01-13 00:00:00	12.453	5.655
1970-01-13 12:00:00	12.2562	5.58081
1970-01-14 00:00:00	12.2617	5.57824
1970-01-14 12:00:00	12.0817	5.51123
1970-01-15 00:00:00	12.093	5.5106
1970-01-15 12:00:00	11.9203	5.44377
1970-01-16 00:00:00	11.9286	5.44587
1970-01-16 12:00:00	11.7621	5.38426
1970-01-17 00:00:00	11.7752	5.38745
1970-01-17 12:00:00	11.6276	5.33316
1970-01-18 00:00:00	11.639	5.33382
1970-01-18 12:00:00	11.4888	5.27542
1970-01-19 00:00:00	11.4819	5.27019
1970-01-19 12:00:00	11.3377	5.21075
1970-01-20 00:00:00	11.3233	5.20735
1970-01-20 12:00:00	11.1648	5.15192
1970-01-21 00:00:00	11.1599	5.15062
1970-01-21 12:00:00	11.0153	5.09695
1970-01-22 00:00:00	11.0141	5.09524
1970-01-22 12:00:00	10.8813	5.03728
1970-01-23 00:00:00	10.871	5.03576
1970-01-23 12:00:00	10.7301	4.97883
1970-01-24 00:00:00	10.7254	4.97871
1970-01-24 12:00:00	10.5944	4.92741
1970-01-25 00:00:00	10.5908	4.928
1970-01-25 12:00:00	10.4556	4.8711
1970-01-26 00:00:00	10.4499	4.86632
1970-01-26 12:00:00	10.3272	4.81722
1970-01-27 00:00:00	10.3806	4.82169
1970-01-27 12:00:00	10.275	4.77498
1970-01-28 00:00:00	10.2845	4.78252
1970-01-28 12:00:00	10.1715	4.7355
1970-01-29 00:00:00	10.1795	4.7391
1970-01-29 12:00:00	10.0634	4.68853
1970-01-30 00:00:00	10.0605	4.691
1970-01-30 12:00:00	9.95845	4.65018
1970-01-31 00:00:00	9.96426	4.6513
1970-01-31 12:00:00	9.8622	4.61069
1970-02-01 00:00:00	9.86121	4.61209
1970-02-01 12:00:00	9.76196	4.57168
1970-02-02 00:00:00	9.75948	4.57304
1970-02-02 12:00:00	9.65512	4.52801
1970-02-03 00:00:00	9.65323	4.52687
1970-02-03 12:00:00	9.55905	4.4883
1970-02-04 00:00:00	9.66874	4.49106
1970-02-04 12:00:00	9.60583	4.45673
1970-02-05 00:00:00	9.68474	4.46923
1970-02-05 12:00:00	9.62998	4.44617
1970-02-06 00:00:00	9.63467	4.46508
1970-02-06 12:00:00	9.55383	4.43405
1970-02-07 00:00:00	9.54205	4.44697
1970-02-07 12:00:00	9.45432	4.4095
1970-02-08 00:00:00	9.4367	4.41193
1970-02-08 12:00:00	9.35742	4.38333
1970-02-09 00:00:00	9.45206	4.39221
1970-02-09 12:00:00	9.40095	4.36898
1970-02-10 00:00:00	9.42213	4.38947
1970-02-10 12:00:00	9.35377	4.36263
1970-02-11 00:00:00	9.41385	4.37856
1970-02-11 12:00:00	9.36301	4.35521
1970-02-12 00:00:00	9.35768	4.35848
1970-02-12 12:00:00	9.29109	4.33176
1970-02-13 00:00:00	9.24924	4.33052
1970-02-13 12:00:00	9.17576	4.29932
1970-02-14 00:00:00	9.13711	4.28577
1970-02-14 12:00:00	9.06882	4.25689
1970-02-15 00:00:00	9.04082	4.24897
1970-02-15 12:00:00	8.9753	4.22255
1970-02-16 00:00:00	8.9715	4.21126
1970-02-16 12:00:00	8.90955	4.18397
1970-02-17 00:00:00	8.89427	4.18019
1970-02-17 12:00:00	8.84212	4.15776
1970-02-18 00:00:00	8.81487	4.1532
1970-02-18 12:00:00	8.7498	4.12522
1970-02-19 00:00:00	8.73099	4.11547
1970-02-19 12:00:00	8.66818	4.08789
1970-02-20 00:00:00	8.63822	4.08489
1970-02-20 12:00:00	8.57112	4.05254
1970-02-21 00:00:00	8.57931	4.04628
1970-02-21 12:00:00	8.53137	4.02726
1970-02-22 00:00:00	8.54085	4.0272
1970-02-22 12:00:00	8.48823	4.00182
1970-02-23 00:00:00	8.47841	3.99849
1970-02-23 12:00:00	8.42383	3.97689
1970-02-24 00:00:00	8.44586	3.97829
1970-02-24 12:00:00	8.39409	3.95636
1970-02-25 00:00:00	8.43814	3.96
1970-02-25 12:00:00	8.39203	3.93145
1970-02-26 00:00:00	8.43449	3.93709
1970-02-26 12:00:00	8.40128	3.92211
1970-02-27 00:00:00	8.39039	3.92541
1970-02-27 12:00:00	8.34043	3.90293
1970-02-28 00:00:00	8.32626	3.90417
1970-02-28 12:00:00	8.27942	3.88451
1970-03-01 00:00:00	8.24984	3.88282
1970-03-01 12:00:00	8.1848	3.84572
1970-03-02 00:00:00	8.19733	3.84399
1970-03-02 12:00:00	8.15929	3.83159
1970-03-03 00:00:00	8.14738	3.83031
1970-03-03 12:00:00	8.09968	3.8079
1970-03-04 00:00:00	8.08089	3.80799
1970-03-04 12:00:00	8.03876	3.79192
1970-03-05 00:00:00	8.00772	3.78734
1970-03-05 12:00:00	7.96544	3.76999
1970-03-06 00:00:00	7.96012	3.76903
1970-03-06 12:00:00	7.91813	3.75115
1970-03-07 00:00:00	7.98428	3.75322
1970-03-07 12:00:00	7.96372	3.74058
1970-03-08 00:00:00	8.01903	3.7459
1970-03-08 12:00:00	7.99675	3.73348
1970-03-09 00:00:00	8.08081	3.74374
1970-03-09 12:00:00	8.05871	3.73048
1970-03-10 00:00:00	8.05338	3.73453
1970-03-10 12:00:00	8.01571	3.71944
1970-03-11 00:00:00	8.0082	3.72069
1970-03-11 12:00:00	7.97109	3.70352
1970-03-12 00:00:00	7.91382	3.70161
1970-03-12 12:00:00	7.87232	3.68283
1970-03-13 00:00:00	7.83265	3.67987
1970-03-13 12:00:00	7.788	3.65414
1970-03-14 00:00:00	7.75621	3.64935
1970-03-14 12:00:00	7.71971	3.63483
1970-03-15 00:00:00	7.69289	3.62716
1970-03-15 12:00:00	7.65876	3.61329
1970-03-16 00:00:00	7.64084	3.61021
1970-03-16 12:00:00	7.59517	3.59407
1970-03-17 00:00:00	7.57753	3.58845
1970-03-17 12:00:00	7.54929	3.5721
1970-03-18 00:00:00	7.58325	3.56146
1970-03-18 12:00:00	7.59625	3.55924
1970-03-19 00:00:00	7.69841	3.56477
1970-03-19 12:00:00	7.69574	3.55771
1970-03-20 00:00:00	7.77638	3.58813
1970-03-20 12:00:00	7.76137	3.57921
1970-03-21 00:00:00	7.75438	3.5957
1970-03-21 12:00:00	7.7208	3.5827
1970-03-22 00:00:00	7.77912	3.59
1970-03-22 12:00:00	7.76635	3.57906
1970-03-23 00:00:00	7.81983	3.59624
1970-03-23 12:00:00	7.81687	3.59015
1970-03-24 00:00:00	7.85998	3.60896
1970-03-24 12:00:00	7.8403	3.59584
1970-03-25 00:00:00	7.80674	3.59706
1970-03-25 12:00:00	7.7763	3.58497
1970-03-26 00:00:00	7.71246	3.57505
1970-03-26 12:00:00	7.6823	3.56277
1970-03-27 00:00:00	7.61471	3.55209
1970-03-27 12:00:00	7.58226	3.53808
1970-03-28 00:00:00	7.59172	3.52254
1970-03-28 12:00:00	7.57304	3.51168
1970-03-29 00:00:00	7.59309	3.49975
1970-03-29 12:00:00	7.56865	3.47866
1970-03-30 00:00:00	7.54794	3.47385
1970-03-30 12:00:00	7.52047	3.46371
1970-03-31 00:00:00	7.52052	3.45632
1970-03-31 12:00:00	7.49643	3.44513
1970-04-01 00:00:00	7.51363	3.44667
1970-04-01 12:00:00	7.50391	3.43954
1970-04-02 00:00:00	7.58663	3.45594
1970-04-02 12:00:00	7.58684	3.44907
1970-04-03 00:00:00	7.65919	3.47273
1970-04-03 12:00:00	7.64441	3.46119
1970-04-04 00:00:00	7.61493	3.46792
1970-04-04 12:00:00	7.59607	3.46031
1970-04-05 00:00:00	7.54666	3.45462
1970-04-05 12:00:00	7.52198	3.44418
1970-04-06 00:00:00	7.51342	3.43836
1970-04-06 12:00:00	7.50249	3.43087
1970-04-07 00:00:00	7.48926	3.42535
1970-04-07 12:00:00	7.46948	3.41599
1970-04-08 00:00:00	7.41212	3.40357
1970-04-08 12:00:00	7.38433	3.3912
1970-04-09 00:00:00	7.35857	3.37939
1970-04-09 12:00:00	7.33418	3.36818
1970-04-10 00:00:00	7.29402	3.36389
1970-04-10 12:00:00	7.2704	3.35391
1970-04-11 00:00:00	7.24346	3.34238
1970-04-11 12:00:00	7.23321	3.33036
1970-04-12 00:00:00	7.26913	3.32598
1970-04-12 12:00:00	7.30012	3.32728
1970-04-13 00:00:00	7.29972	3.32066
1970-04-13 12:00:00	7.29405	3.32177
1970-04-14 00:00:00	7.25541	3.31902
1970-04-14 12:00:00	7.26919	3.31898
1970-04-15 00:00:00	7.19303	3.30024
1970-04-15 12:00:00	7.16992	3.28879
1970-04-16 00:00:00	7.13786	3.28378
1970-04-16 12:00:00	7.11725	3.2754
1970-04-17 00:00:00	7.14292	3.27426
1970-04-17 12:00:00	7.12803	3.265
1970-04-18 00:00:00	7.12692	3.26346
1970-04-18 12:00:00	7.10071	3.24757
1970-04-19 00:00:00	7.09574	3.24836
1970-04-19 12:00:00	7.07407	3.23979
1970-04-20 00:00:00	7.08438	3.24192
1970-04-20 12:00:00	7.06914	3.23421
1970-04-21 00:00:00	7.05532	3.2321
1970-04-21 12:00:00	7.0349	3.22443
1970-04-22 00:00:00	7.04206	3.22451
1970-04-22 12:00:00	7.0245	3.2142
1970-04-23 00:00:00	7.06794	3.20919
1970-04-23 12:00:00	7.093	3.21363
1970-04-24 00:00:00	7.29446	3.25169
1970-04-24 12:00:00	7.31627	3.25074
1970-04-25 00:00:00	7.39358	3.29146
1970-04-25 12:00:00	7.3835	3.28759
1970-04-26 00:00:00	7.35756	3.29677
1970-04-26 12:00:00	7.33538	3.28853
1970-04-27 00:00:00	7.30834	3.28311
1970-04-27 12:00:00	7.29457	3.27686
1970-04-28 00:00:00	7.20642	3.26665
1970-04-28 12:00:00	7.18083	3.25725
1970-04-29 00:00:00	7.10368	3.23654
1970-04-29 12:00:00	7.07858	3.22671
1970-04-30 00:00:00	7.15016	3.22331
1970-04-30 12:00:00	7.15666	3.22027
1970-05-01 00:00:00	7.12307	3.22257
1970-05-01 12:00:00	7.08303	3.19637
1970-05-02 00:00:00	7.04637	3.19489
1970-05-02 12:00:00	7.0288	3.191
1970-05-03 00:00:00	6.97653	3.18403
1970-05-03 12:00:00	6.9523	3.17496
1970-05-04 00:00:00	6.89028	3.15432
1970-05-04 12:00:00	6.8666	3.14445
1970-05-05 00:00:00	6.79174	3.1238
1970-05-05 12:00:00	6.76319	3.1127
1970-05-06 00:00:00	6.69468	3.09343
1970-05-06 12:00:00	6.66575	3.08282
1970-05-07 00:00:00	6.59288	3.06439
1970-05-07 12:00:00	6.55436	3.0468
1970-05-08 00:00:00	6.5205	3.03229
1970-05-08 12:00:00	6.49562	3.02299
1970-05-09 00:00:00	6.46483	3.01446
1970-05-09 12:00:00	6.43503	3.00359
1970-05-10 00:00:00	6.41428	2.99642
1970-05-10 12:00:00	6.38981	2.98699
1970-05-11 00:00:00	6.3618	2.98158
1970-05-11 12:00:00	6.33478	2.97137
1970-05-12 00:00:00	6.31779	2.96511
1970-05-12 12:00:00	6.29003	2.95523
1970-05-13 00:00:00	6.30706	2.95651
1970-05-13 12:00:00	6.28607	2.9475
1970-05-14 00:00:00	6.29551	2.95216
1970-05-14 12:00:00	6.27262	2.94291
1970-05-15 00:00:00	6.27313	2.94457
1970-05-15 12:00:00	6.24657	2.93388
1970-05-16 00:00:00	6.24353	2.93591
1970-05-16 12:00:00	6.21862	2.92646
1970-05-17 00:00:00	6.21492	2.9271
1970-05-17 12:00:00	6.1901	2.91813
1970-05-18 00:00:00	6.18468	2.91815
1970-05-18 12:00:00	6.16257	2.90872
1970-05-19 00:00:00	6.16978	2.90852
1970-05-19 12:00:00	6.14835	2.90014
1970-05-20 00:00:00	6.14962	2.90035
1970-05-20 12:00:00	6.1212	2.89139
1970-05-21 00:00:00	6.13852	2.88927
1970-05-21 12:00:00	6.13583	2.88192
1970-05-22 00:00:00	6.16256	2.88081
1970-05-22 12:00:00	6.18351	2.88076
1970-05-23 00:00:00	6.20022	2.88323
1970-05-23 12:00:00	6.20729	2.88454
1970-05-24 00:00:00	6.20343	2.89216
1970-05-24 12:00:00	6.18995	2.89095
1970-05-25 00:00:00	6.16715	2.88646
1970-05-25 12:00:00	6.15981	2.8871
1970-05-26 00:00:00	6.14498	2.88385
1970-05-26 12:00:00	6.13124	2.88055
1970-05-27 00:00:00	6.10752	2.87048
1970-05-27 12:00:00	6.10619	2.87158
1970-05-28 00:00:00	6.07457	2.86418
1970-05-28 12:00:00	6.08064	2.86634
1970-05-29 00:00:00	6.05105	2.85854
1970-05-29 12:00:00	6.03399	2.85244
1970-05-30 00:00:00	6.04648	2.84955
1970-05-30 12:00:00	6.04437	2.84756
1970-05-31 00:00:00	6.02766	2.84469
1970-05-31 12:00:00	5.99675	2.83735
1970-06-01 00:00:00	5.97762	2.82909
1970-06-01 12:00:00	5.9613	2.82493
1970-06-02 00:00:00	5.94163	2.81855
1970-06-02 12:00:00	5.92583	2.81504
1970-06-03 00:00:00	5.90074	2.80492
1970-06-03 12:00:00	5.88223	2.80039
1970-06-04 00:00:00	5.84921	2.79075
1970-06-04 12:00:00	5.8331	2.78829
1970-06-05 00:00:00	5.80329	2.77553
1970-06-05 12:00:00	5.79492	2.77754
1970-06-06 00:00:00	5.76755	2.76711
1970-06-06 12:00:00	5.76473	2.76745
1970-06-07 00:00:00	5.73849	2.76143
1970-06-07 12:00:00	5.71623	2.75364
1970-06-08 00:00:00	5.70173	2.75105
1970-06-08 12:00:00	5.67832	2.74252
1970-06-09 00:00:00	5.67137	2.73987
1970-06-09 12:00:00	5.64583	2.72871
1970-06-10 00:00:00	5.64066	2.72834
1970-06-10 12:00:00	5.61321	2.72022
1970-06-11 00:00:00	5.60973	2.72047
1970-06-11 12:00:00	5.58388	2.71255
1970-06-12 00:00:00	5.57963	2.71242
1970-06-12 12:00:00	5.55918	2.70565
1970-06-13 00:00:00	5.56143	2.70554
1970-06-13 12:00:00	5.54336	2.69837
1970-06-14 00:00:00	5.5405	2.69846
1970-06-14 12:00:00	5.51921	2.69057
1970-06-15 00:00:00	5.52214	2.69083
1970-06-15 12:00:00	5.50331	2.68469
1970-06-16 00:00:00	5.49967	2.68423
1970-06-16 12:00:00	5.47982	2.67654
1970-06-17 00:00:00	5.48069	2.67596
1970-06-17 12:00:00	5.46049	2.66809
1970-06-18 00:00:00	5.45672	2.66951
1970-06-18 12:00:00	5.44042	2.66388
1970-06-19 00:00:00	5.4377	2.66359
1970-06-19 12:00:00	5.41602	2.6554
1970-06-20 00:00:00	5.41645	2.65595
1970-06-20 12:00:00	5.39818	2.65015
1970-06-21 00:00:00	5.40267	2.65244
1970-06-21 12:00:00	5.38554	2.64553
1970-06-22 00:00:00	5.38393	2.64605
1970-06-22 12:00:00	5.36483	2.64034
1970-06-23 00:00:00	5.37004	2.6421
1970-06-23 12:00:00	5.34995	2.63042
1970-06-24 00:00:00	5.35219	2.63071
1970-06-24 12:00:00	5.33582	2.62538
1970-06-25 00:00:00	5.33694	2.62511
1970-06-25 12:00:00	5.33183	2.62437
1970-06-26 00:00:00	5.34711	2.62357
1970-06-26 12:00:00	5.35415	2.62457
1970-06-27 00:00:00	5.35021	2.62359
1970-06-27 12:00:00	5.34094	2.61934
1970-06-28 00:00:00	5.3359	2.6176
1970-06-28 12:00:00	5.33031	2.61699
1970-06-29 00:00:00	5.3281	2.61661
1970-06-29 12:00:00	5.31988	2.60961
1970-06-30 00:00:00	5.32092	2.61064
1970-06-30 12:00:00	5.32528	2.61074
1970-07-01 00:00:00	5.33909	2.60828
1970-07-01 12:00:00	5.36202	2.60742
1970-07-02 00:00:00	5.37725	2.60832
1970-07-02 12:00:00	5.39153	2.61393
1970-07-03 00:00:00	5.39799	2.61678
1970-07-03 12:00:00	5.3966	2.61817
1970-07-04 00:00:00	5.39905	2.61744
1970-07-04 12:00:00	5.4036	2.62235
1970-07-05 00:00:00	5.39069	2.61944
1970-07-05 12:00:00	5.39446	2.62634
1970-07-06 00:00:00	5.37626	2.62297
1970-07-06 12:00:00	5.38031	2.62778
