Data stored on MIKE 11 timesteps
Time	Karup River at Hagebro	Karup River at Karup
Unit	100001	1800	0	100001	1800	0
1970-01-01 12:00:00	15.9493	7.08271
1970-01-02 00:00:00	15.7704	7.08714
1970-01-02 12:00:00	15.3173	6.89533
1970-01-03 00:00:00	15.2515	6.84171
1970-01-03 12:00:00	14.9192	6.71958
1970-01-04 00:00:00	14.8858	6.67056
1970-01-04 12:00:00	14.5686	6.54407
1970-01-05 00:00:00	14.5742	6.52459
1970-01-05 12:00:00	14.2791	6.41166
1970-01-06 00:00:00	14.2512	6.38261
1970-01-06 12:00:00	13.9657	6.2749
1970-01-07 00:00:00	13.9435	6.25991
1970-01-07 12:00:00	13.6697	6.15441
1970-01-08 00:00:00	13.6409	6.14003
1970-01-08 12:00:00	13.38	6.04323
1970-01-09 00:00:00	13.3678	6.02533
1970-01-09 12:00:00	13.1232	5.93151
1970-01-10 00:00:00	13.1002	5.91806
1970-01-10 12:00:00	12.8624	5.83287
1970-01-11 00:00:00	12.8543	5.8255
1970-01-11 12:00:00	12.6413	5.74242
1970-01-12 00:00:00	12.663	5.7371
1970-01-12 12:00:00	12.4632	5.66374
1970-01-13 00:00:00	12.4685	5.65972
1970-01-13 12:00:00	12.2715	5.58534
1970-01-14 00:00:00	12.2802	5.58026
1970-01-14 12:00:00	12.1	5.51275
1970-01-15 00:00:00	12.106	5.51669
1970-01-15 12:00:00	11.9322	5.4511
1970-01-16 00:00:00	11.9485	5.44928
1970-01-16 12:00:00	11.7877	5.38729
1970-01-17 00:00:00	11.8054	5.39351
1970-01-17 12:00:00	11.6574	5.33919
1970-01-18 00:00:00	11.6615	5.33676
1970-01-18 12:00:00	11.5204	5.27941
1970-01-19 00:00:00	11.5043	5.27682
1970-01-19 12:00:00	11.3414	5.21735
1970-01-20 00:00:00	11.3357	5.21359
1970-01-20 12:00:00	11.1855	5.15789
1970-01-21 00:00:00	11.1776	5.15573
1970-01-21 12:00:00	11.0349	5.10235
1970-01-22 00:00:00	11.0291	5.10057
1970-01-22 12:00:00	10.8843	5.04058
1970-01-23 00:00:00	10.8757	5.03851
1970-01-23 12:00:00	10.7404	4.98615
1970-01-24 00:00:00	10.7334	4.98533
1970-01-24 12:00:00	10.5979	4.93088
1970-01-25 00:00:00	10.5977	4.93132
1970-01-25 12:00:00	10.4658	4.87545
1970-01-26 00:00:00	10.4648	4.87629
1970-01-26 12:00:00	10.3427	4.82804
1970-01-27 00:00:00	10.3939	4.83119
1970-01-27 12:00:00	10.2851	4.78133
1970-01-28 00:00:00	10.2918	4.78545
1970-01-28 12:00:00	10.1821	4.74052
1970-01-29 00:00:00	10.1933	4.74434
1970-01-29 12:00:00	10.0839	4.69994
1970-01-30 00:00:00	10.0844	4.70202
1970-01-30 12:00:00	9.97661	4.65555
1970-01-31 00:00:00	9.98152	4.65683
1970-01-31 12:00:00	9.87659	4.61424
1970-02-01 00:00:00	9.87532	4.61586
1970-02-01 12:00:00	9.77778	4.57689
1970-02-02 00:00:00	9.77259	4.57747
1970-02-02 12:00:00	9.66787	4.53171
1970-02-03 00:00:00	9.66386	4.53059
1970-02-03 12:00:00	9.57225	4.4947
1970-02-04 00:00:00	9.68123	4.49809
1970-02-04 12:00:00	9.61648	4.46176
1970-02-05 00:00:00	9.69572	4.473
1970-02-05 12:00:00	9.64262	4.45089
1970-02-06 00:00:00	9.6493	4.47041
1970-02-06 12:00:00	9.56743	4.43801
1970-02-07 00:00:00	9.55678	4.45239
1970-02-07 12:00:00	9.46882	4.41498
1970-02-08 00:00:00	9.45666	4.41722
1970-02-08 12:00:00	9.37895	4.38947
1970-02-09 00:00:00	9.46893	4.39818
1970-02-09 12:00:00	9.41705	4.37464
1970-02-10 00:00:00	9.447	4.39655
1970-02-10 12:00:00	9.37875	4.36938
1970-02-11 00:00:00	9.44162	4.38549
1970-02-11 12:00:00	9.39396	4.36363
1970-02-12 00:00:00	9.37996	4.36631
1970-02-12 12:00:00	9.3105	4.33817
1970-02-13 00:00:00	9.26967	4.33664
1970-02-13 12:00:00	9.19667	4.30444
1970-02-14 00:00:00	9.16089	4.29329
1970-02-14 12:00:00	9.09426	4.26648
1970-02-15 00:00:00	9.0528	4.25684
1970-02-15 12:00:00	8.98439	4.22886
1970-02-16 00:00:00	8.98481	4.21572
1970-02-16 12:00:00	8.92659	4.18986
1970-02-17 00:00:00	8.91434	4.18602
1970-02-17 12:00:00	8.8602	4.16313
1970-02-18 00:00:00	8.83473	4.15832
1970-02-18 12:00:00	8.77041	4.12952
1970-02-19 00:00:00	8.74349	4.11954
1970-02-19 12:00:00	8.67889	4.09245
1970-02-20 00:00:00	8.64903	4.08944
1970-02-20 12:00:00	8.58167	4.05586
1970-02-21 00:00:00	8.59524	4.04901
1970-02-21 12:00:00	8.55262	4.03179
1970-02-22 00:00:00	8.5613	4.03188
1970-02-22 12:00:00	8.50603	4.00662
1970-02-23 00:00:00	8.49435	4.00711
1970-02-23 12:00:00	8.44001	3.98512
1970-02-24 00:00:00	8.4597	3.9814
1970-02-24 12:00:00	8.39309	3.94426
1970-02-25 00:00:00	8.44102	3.9492
1970-02-25 12:00:00	8.41188	3.93691
1970-02-26 00:00:00	8.45394	3.94212
1970-02-26 12:00:00	8.41977	3.92634
1970-02-27 00:00:00	8.41883	3.93514
1970-02-27 12:00:00	8.37013	3.91374
1970-02-28 00:00:00	8.34606	3.91362
1970-02-28 12:00:00	8.29666	3.8925
1970-03-01 00:00:00	8.27128	3.89031
1970-03-01 12:00:00	8.21552	3.86193
1970-03-02 00:00:00	8.22528	3.85604
1970-03-02 12:00:00	8.18073	3.83463
1970-03-03 00:00:00	8.17091	3.8341
1970-03-03 12:00:00	8.12604	3.81649
1970-03-04 00:00:00	8.10328	3.81634
1970-03-04 12:00:00	8.05594	3.79568
1970-03-05 00:00:00	8.02645	3.7907
1970-03-05 12:00:00	7.98516	3.77427
1970-03-06 00:00:00	7.97732	3.77356
1970-03-06 12:00:00	7.93423	3.75445
1970-03-07 00:00:00	8.00316	3.75699
1970-03-07 12:00:00	7.98296	3.74418
1970-03-08 00:00:00	8.04276	3.74995
1970-03-08 12:00:00	8.02489	3.7396
1970-03-09 00:00:00	8.12097	3.75163
1970-03-09 12:00:00	8.09734	3.73804
1970-03-10 00:00:00	8.1001	3.74689
1970-03-10 12:00:00	8.06272	3.73084
1970-03-11 00:00:00	8.04206	3.73062
1970-03-11 12:00:00	8.01039	3.71535
1970-03-12 00:00:00	7.94909	3.71322
1970-03-12 12:00:00	7.90941	3.69448
1970-03-13 00:00:00	7.87142	3.69052
1970-03-13 12:00:00	7.82252	3.66446
1970-03-14 00:00:00	7.78945	3.65575
1970-03-14 12:00:00	7.75432	3.64176
1970-03-15 00:00:00	7.72083	3.63376
1970-03-15 12:00:00	7.68135	3.61692
1970-03-16 00:00:00	7.6571	3.61032
1970-03-16 12:00:00	7.61337	3.59444
1970-03-17 00:00:00	7.60477	3.59286
1970-03-17 12:00:00	7.57553	3.57705
1970-03-18 00:00:00	7.61565	3.56707
1970-03-18 12:00:00	7.63762	3.56681
1970-03-19 00:00:00	7.7404	3.57327
1970-03-19 12:00:00	7.73786	3.56601
1970-03-20 00:00:00	7.82192	3.60102
1970-03-20 12:00:00	7.80652	3.59148
1970-03-21 00:00:00	7.80367	3.60715
1970-03-21 12:00:00	7.77082	3.59486
1970-03-22 00:00:00	7.839	3.60327
1970-03-22 12:00:00	7.83014	3.59339
1970-03-23 00:00:00	7.88047	3.61255
1970-03-23 12:00:00	7.87738	3.60582
1970-03-24 00:00:00	7.92933	3.62496
1970-03-24 12:00:00	7.90976	3.61108
1970-03-25 00:00:00	7.87219	3.61455
1970-03-25 12:00:00	7.84398	3.60456
1970-03-26 00:00:00	7.77947	3.59364
1970-03-26 12:00:00	7.74972	3.58217
1970-03-27 00:00:00	7.6898	3.56853
1970-03-27 12:00:00	7.65589	3.55273
1970-03-28 00:00:00	7.67035	3.53582
1970-03-28 12:00:00	7.65268	3.52558
1970-03-29 00:00:00	7.67035	3.5126
1970-03-29 12:00:00	7.64644	3.49058
1970-03-30 00:00:00	7.60538	3.48577
1970-03-30 12:00:00	7.57818	3.47486
1970-03-31 00:00:00	7.57201	3.46743
1970-03-31 12:00:00	7.55187	3.45782
1970-04-01 00:00:00	7.56802	3.45921
1970-04-01 12:00:00	7.55646	3.45142
1970-04-02 00:00:00	7.65879	3.46999
1970-04-02 12:00:00	7.66037	3.46344
1970-04-03 00:00:00	7.73241	3.48898
1970-04-03 12:00:00	7.7192	3.4788
1970-04-04 00:00:00	7.69126	3.47846
1970-04-04 12:00:00	7.67054	3.46901
1970-04-05 00:00:00	7.61516	3.46438
1970-04-05 12:00:00	7.59343	3.45518
1970-04-06 00:00:00	7.58238	3.44963
1970-04-06 12:00:00	7.57001	3.44213
1970-04-07 00:00:00	7.55546	3.4364
1970-04-07 12:00:00	7.53605	3.42726
1970-04-08 00:00:00	7.46002	3.41593
1970-04-08 12:00:00	7.43134	3.40446
1970-04-09 00:00:00	7.41343	3.39911
1970-04-09 12:00:00	7.39455	3.38711
1970-04-10 00:00:00	7.35145	3.37541
1970-04-10 12:00:00	7.32868	3.36506
1970-04-11 00:00:00	7.30602	3.35615
1970-04-11 12:00:00	7.29491	3.34515
1970-04-12 00:00:00	7.33652	3.34443
1970-04-12 12:00:00	7.3684	3.34482
1970-04-13 00:00:00	7.37804	3.34051
1970-04-13 12:00:00	7.37677	3.33969
1970-04-14 00:00:00	7.33642	3.33048
1970-04-14 12:00:00	7.33589	3.33132
1970-04-15 00:00:00	7.26184	3.31897
1970-04-15 12:00:00	7.24029	3.31022
1970-04-16 00:00:00	7.20094	3.3014
1970-04-16 12:00:00	7.17489	3.28602
1970-04-17 00:00:00	7.19377	3.28603
1970-04-17 12:00:00	7.17805	3.27812
1970-04-18 00:00:00	7.18353	3.27615
1970-04-18 12:00:00	7.15574	3.25869
1970-04-19 00:00:00	7.1582	3.25944
1970-04-19 12:00:00	7.13832	3.25184
1970-04-20 00:00:00	7.13814	3.24939
1970-04-20 12:00:00	7.12677	3.24346
1970-04-21 00:00:00	7.1127	3.24729
1970-04-21 12:00:00	7.08864	3.23936
1970-04-22 00:00:00	7.11201	3.2392
1970-04-22 12:00:00	7.09418	3.22998
1970-04-23 00:00:00	7.17785	3.23879
1970-04-23 12:00:00	7.18191	3.23785
1970-04-24 00:00:00	7.42278	3.28047
1970-04-24 12:00:00	7.44579	3.28105
1970-04-25 00:00:00	7.5085	3.31419
1970-04-25 12:00:00	7.4955	3.30768
1970-04-26 00:00:00	7.45322	3.32141
1970-04-26 12:00:00	7.42978	3.3143
1970-04-27 00:00:00	7.40207	3.30737
1970-04-27 12:00:00	7.38846	3.30082
1970-04-28 00:00:00	7.29418	3.28448
1970-04-28 12:00:00	7.27019	3.27452
1970-04-29 00:00:00	7.17191	3.25511
1970-04-29 12:00:00	7.14476	3.24548
1970-04-30 00:00:00	7.22795	3.24237
1970-04-30 12:00:00	7.23657	3.23998
1970-05-01 00:00:00	7.20065	3.24225
1970-05-01 12:00:00	7.17611	3.23041
1970-05-02 00:00:00	7.12994	3.22787
1970-05-02 12:00:00	7.10525	3.21914
1970-05-03 00:00:00	7.05278	3.21231
1970-05-03 12:00:00	7.02817	3.20267
1970-05-04 00:00:00	6.96479	3.18114
1970-05-04 12:00:00	6.94255	3.17214
1970-05-05 00:00:00	6.86292	3.1504
1970-05-05 12:00:00	6.82564	3.13105
1970-05-06 00:00:00	6.75305	3.11115
1970-05-06 12:00:00	6.72325	3.10025
1970-05-07 00:00:00	6.6507	3.08024
1970-05-07 12:00:00	6.61965	3.06734
1970-05-08 00:00:00	6.57976	3.05389
1970-05-08 12:00:00	6.54882	3.04222
1970-05-09 00:00:00	6.51817	3.03343
1970-05-09 12:00:00	6.48747	3.01981
1970-05-10 00:00:00	6.47154	3.0126
1970-05-10 12:00:00	6.44419	3.00085
1970-05-11 00:00:00	6.41933	2.99518
1970-05-11 12:00:00	6.39038	2.98353
1970-05-12 00:00:00	6.37238	2.97944
1970-05-12 12:00:00	6.3448	2.96945
1970-05-13 00:00:00	6.35648	2.9723
1970-05-13 12:00:00	6.33396	2.96317
1970-05-14 00:00:00	6.3388	2.96159
1970-05-14 12:00:00	6.31852	2.9538
1970-05-15 00:00:00	6.32699	2.95894
1970-05-15 12:00:00	6.30242	2.9499
1970-05-16 00:00:00	6.29317	2.95121
1970-05-16 12:00:00	6.26462	2.94062
1970-05-17 00:00:00	6.26564	2.94165
1970-05-17 12:00:00	6.24169	2.93281
1970-05-18 00:00:00	6.24019	2.93321
1970-05-18 12:00:00	6.21951	2.92491
1970-05-19 00:00:00	6.22764	2.92537
1970-05-19 12:00:00	6.20756	2.91702
1970-05-20 00:00:00	6.2074	2.91679
1970-05-20 12:00:00	6.18389	2.90892
1970-05-21 00:00:00	6.19596	2.90838
1970-05-21 12:00:00	6.19467	2.90491
1970-05-22 00:00:00	6.22479	2.9038
1970-05-22 12:00:00	6.2485	2.90542
1970-05-23 00:00:00	6.26126	2.90311
1970-05-23 12:00:00	6.26988	2.9058
1970-05-24 00:00:00	6.26489	2.91171
1970-05-24 12:00:00	6.25126	2.91226
1970-05-25 00:00:00	6.22397	2.89941
1970-05-25 12:00:00	6.21257	2.90212
1970-05-26 00:00:00	6.19877	2.89987
1970-05-26 12:00:00	6.18359	2.89714
1970-05-27 00:00:00	6.15616	2.88947
1970-05-27 12:00:00	6.15224	2.88724
1970-05-28 00:00:00	6.13317	2.88113
1970-05-28 12:00:00	6.13679	2.88336
1970-05-29 00:00:00	6.09593	2.87497
1970-05-29 12:00:00	6.07745	2.86848
1970-05-30 00:00:00	6.096	2.86813
1970-05-30 12:00:00	6.09822	2.86664
1970-05-31 00:00:00	6.08061	2.86289
1970-05-31 12:00:00	6.05308	2.85162
1970-06-01 00:00:00	6.03516	2.85164
1970-06-01 12:00:00	6.01874	2.84421
1970-06-02 00:00:00	5.98687	2.83836
1970-06-02 12:00:00	5.9712	2.83347
1970-06-03 00:00:00	5.95383	2.82882
1970-06-03 12:00:00	5.93456	2.82343
1970-06-04 00:00:00	5.89895	2.80753
1970-06-04 12:00:00	5.88874	2.80774
1970-06-05 00:00:00	5.85286	2.79449
1970-06-05 12:00:00	5.84266	2.79574
1970-06-06 00:00:00	5.814	2.78315
1970-06-06 12:00:00	5.80984	2.78402
1970-06-07 00:00:00	5.7867	2.78225
1970-06-07 12:00:00	5.7634	2.77437
1970-06-08 00:00:00	5.75112	2.77097
1970-06-08 12:00:00	5.72853	2.76289
1970-06-09 00:00:00	5.71689	2.76092
1970-06-09 12:00:00	5.69132	2.75191
1970-06-10 00:00:00	5.69075	2.74912
1970-06-10 12:00:00	5.67053	2.74084
1970-06-11 00:00:00	5.66588	2.74137
1970-06-11 12:00:00	5.6408	2.73221
1970-06-12 00:00:00	5.63521	2.73194
1970-06-12 12:00:00	5.60886	2.72393
1970-06-13 00:00:00	5.60789	2.72396
1970-06-13 12:00:00	5.59054	2.71755
1970-06-14 00:00:00	5.58938	2.71743
1970-06-14 12:00:00	5.5622	2.71031
1970-06-15 00:00:00	5.56492	2.71014
1970-06-15 12:00:00	5.55698	2.71026
1970-06-16 00:00:00	5.55172	2.70971
1970-06-16 12:00:00	5.53081	2.70283
1970-06-17 00:00:00	5.52802	2.7023
1970-06-17 12:00:00	5.50883	2.69485
1970-06-18 00:00:00	5.50725	2.69477
1970-06-18 12:00:00	5.48951	2.68964
1970-06-19 00:00:00	5.48945	2.69099
1970-06-19 12:00:00	5.47051	2.68448
1970-06-20 00:00:00	5.46898	2.68481
1970-06-20 12:00:00	5.45042	2.67885
1970-06-21 00:00:00	5.45194	2.68023
1970-06-21 12:00:00	5.43418	2.67433
1970-06-22 00:00:00	5.43713	2.67664
1970-06-22 12:00:00	5.41969	2.67061
1970-06-23 00:00:00	5.4228	2.67005
1970-06-23 12:00:00	5.40769	2.66378
1970-06-24 00:00:00	5.40885	2.66429
1970-06-24 12:00:00	5.39252	2.65899
1970-06-25 00:00:00	5.3925	2.6589
1970-06-25 12:00:00	5.39045	2.6577
1970-06-26 00:00:00	5.39878	2.65767
1970-06-26 12:00:00	5.40534	2.65758
1970-06-27 00:00:00	5.40087	2.65353
1970-06-27 12:00:00	5.39159	2.64904
1970-06-28 00:00:00	5.38242	2.64499
1970-06-28 12:00:00	5.38289	2.64677
1970-06-29 00:00:00	5.37119	2.6393
1970-06-29 12:00:00	5.37179	2.64036
1970-06-30 00:00:00	5.36747	2.63604
1970-06-30 12:00:00	5.36606	2.63511
1970-07-01 00:00:00	5.38722	2.63139
1970-07-01 12:00:00	5.41233	2.63201
1970-07-02 00:00:00	5.42622	2.63145
1970-07-02 12:00:00	5.43588	2.63465
1970-07-03 00:00:00	5.4416	2.64083
1970-07-03 12:00:00	5.44126	2.64245
1970-07-04 00:00:00	5.44153	2.64159
1970-07-04 12:00:00	5.44228	2.64391
1970-07-05 00:00:00	5.4364	2.64567
1970-07-05 12:00:00	5.43685	2.64949
1970-07-06 00:00:00	5.42358	2.64853
1970-07-06 12:00:00	5.42549	2.65241
