Data stored on MIKE 11 timesteps
Time	Karup River at Hagebro	Karup River at Karup
Unit	100001	1800	0	100001	1800	0
1970-01-01 12:00:00	15.9493	7.08271
1970-01-02 00:00:00	15.7703	7.0871
1970-01-02 12:00:00	15.3172	6.89529
1970-01-03 00:00:00	15.2406	6.8362
1970-01-03 12:00:00	14.9046	6.71256
1970-01-04 00:00:00	14.8606	6.66302
1970-01-04 12:00:00	14.5386	6.5356
1970-01-05 00:00:00	14.5591	6.51868
1970-01-05 12:00:00	14.2699	6.40716
1970-01-06 00:00:00	14.2313	6.37707
1970-01-06 12:00:00	13.9443	6.26813
1970-01-07 00:00:00	13.9199	6.24926
1970-01-07 12:00:00	13.6457	6.14548
1970-01-08 00:00:00	13.6241	6.13504
1970-01-08 12:00:00	13.3616	6.03643
1970-01-09 00:00:00	13.3367	6.01823
1970-01-09 12:00:00	13.0898	5.9242
1970-01-10 00:00:00	13.0803	5.91252
1970-01-10 12:00:00	12.8449	5.82744
1970-01-11 00:00:00	12.8415	5.82163
1970-01-11 12:00:00	12.6295	5.74074
1970-01-12 00:00:00	12.6453	5.73476
1970-01-12 12:00:00	12.4437	5.65952
1970-01-13 00:00:00	12.4516	5.65452
1970-01-13 12:00:00	12.2557	5.58289
1970-01-14 00:00:00	12.2614	5.58019
1970-01-14 12:00:00	12.079	5.51024
1970-01-15 00:00:00	12.0907	5.50978
1970-01-15 12:00:00	11.9186	5.4436
1970-01-16 00:00:00	11.9277	5.44566
1970-01-16 12:00:00	11.7623	5.38373
1970-01-17 00:00:00	11.7731	5.38711
1970-01-17 12:00:00	11.6236	5.33402
1970-01-18 00:00:00	11.6387	5.33446
1970-01-18 12:00:00	11.4916	5.27573
1970-01-19 00:00:00	11.4836	5.27102
1970-01-19 12:00:00	11.3396	5.21337
1970-01-20 00:00:00	11.3233	5.20928
1970-01-20 12:00:00	11.163	5.15164
1970-01-21 00:00:00	11.1581	5.15046
1970-01-21 12:00:00	11.014	5.09792
1970-01-22 00:00:00	11.0112	5.09569
1970-01-22 12:00:00	10.8766	5.0375
1970-01-23 00:00:00	10.8687	5.03661
1970-01-23 12:00:00	10.7306	4.98069
1970-01-24 00:00:00	10.7262	4.98055
1970-01-24 12:00:00	10.5942	4.92814
1970-01-25 00:00:00	10.5918	4.92885
1970-01-25 12:00:00	10.4571	4.8719
1970-01-26 00:00:00	10.4525	4.86731
1970-01-26 12:00:00	10.3297	4.81808
1970-01-27 00:00:00	10.3838	4.82251
1970-01-27 12:00:00	10.2749	4.77358
1970-01-28 00:00:00	10.2827	4.78112
1970-01-28 12:00:00	10.171	4.73557
1970-01-29 00:00:00	10.1775	4.73932
1970-01-29 12:00:00	10.0618	4.68915
1970-01-30 00:00:00	10.0612	4.6913
1970-01-30 12:00:00	9.95982	4.65121
1970-01-31 00:00:00	9.96478	4.6523
1970-01-31 12:00:00	9.86222	4.61117
1970-02-01 00:00:00	9.85993	4.61256
1970-02-01 12:00:00	9.76202	4.5734
1970-02-02 00:00:00	9.7601	4.57465
1970-02-02 12:00:00	9.65326	4.52725
1970-02-03 00:00:00	9.64504	4.52626
1970-02-03 12:00:00	9.55818	4.48815
1970-02-04 00:00:00	9.591	4.46703
1970-02-04 12:00:00	9.58418	4.45482
1970-02-05 00:00:00	9.6296	4.45685
1970-02-05 12:00:00	9.57655	4.43623
1970-02-06 00:00:00	9.59318	4.45832
1970-02-06 12:00:00	9.51925	4.43057
1970-02-07 00:00:00	9.51779	4.44235
1970-02-07 12:00:00	9.43061	4.40474
1970-02-08 00:00:00	9.4105	4.40463
1970-02-08 12:00:00	9.33252	4.37656
1970-02-09 00:00:00	9.41635	4.38639
1970-02-09 12:00:00	9.36098	4.36187
1970-02-10 00:00:00	9.37366	4.37804
1970-02-10 12:00:00	9.30429	4.35072
1970-02-11 00:00:00	9.35605	4.36076
1970-02-11 12:00:00	9.30343	4.33653
1970-02-12 00:00:00	9.29912	4.3417
1970-02-12 12:00:00	9.232	4.31473
1970-02-13 00:00:00	9.20171	4.31463
1970-02-13 12:00:00	9.12784	4.28257
1970-02-14 00:00:00	9.10523	4.277
1970-02-14 12:00:00	9.03908	4.25053
1970-02-15 00:00:00	9.00112	4.2396
1970-02-15 12:00:00	8.93332	4.21124
1970-02-16 00:00:00	8.93679	4.20626
1970-02-16 12:00:00	8.87413	4.17911
1970-02-17 00:00:00	8.84679	4.16984
1970-02-17 12:00:00	8.78971	4.14671
1970-02-18 00:00:00	8.77741	4.14327
1970-02-18 12:00:00	8.71022	4.10893
1970-02-19 00:00:00	8.68987	4.10224
1970-02-19 12:00:00	8.63218	4.08082
1970-02-20 00:00:00	8.61265	4.07778
1970-02-20 12:00:00	8.54407	4.04337
1970-02-21 00:00:00	8.5498	4.03782
1970-02-21 12:00:00	8.50105	4.01741
1970-02-22 00:00:00	8.50539	4.0174
1970-02-22 12:00:00	8.44924	3.99144
1970-02-23 00:00:00	8.4454	3.99181
1970-02-23 12:00:00	8.37657	3.9531
1970-02-24 00:00:00	8.3931	3.95481
1970-02-24 12:00:00	8.34271	3.93662
1970-02-25 00:00:00	8.37931	3.93934
1970-02-25 12:00:00	8.34562	3.92447
1970-02-26 00:00:00	8.38373	3.92836
1970-02-26 12:00:00	8.34451	3.90892
1970-02-27 00:00:00	8.33935	3.91238
1970-02-27 12:00:00	8.2955	3.89453
1970-02-28 00:00:00	8.2746	3.89471
1970-02-28 12:00:00	8.2228	3.87184
1970-03-01 00:00:00	8.19692	3.8706
1970-03-01 12:00:00	8.13788	3.84093
1970-03-02 00:00:00	8.15942	3.83897
1970-03-02 12:00:00	8.12295	3.82366
1970-03-03 00:00:00	8.09837	3.81931
1970-03-03 12:00:00	8.0486	3.79871
1970-03-04 00:00:00	8.03444	3.7992
1970-03-04 12:00:00	7.99282	3.78197
1970-03-05 00:00:00	7.97981	3.78113
1970-03-05 12:00:00	7.93474	3.76143
1970-03-06 00:00:00	7.92374	3.76047
1970-03-06 12:00:00	7.88031	3.74117
1970-03-07 00:00:00	7.94437	3.74361
1970-03-07 12:00:00	7.92487	3.73281
1970-03-08 00:00:00	7.98297	3.7371
1970-03-08 12:00:00	7.95969	3.72371
1970-03-09 00:00:00	8.05044	3.73008
1970-03-09 12:00:00	8.02927	3.71712
1970-03-10 00:00:00	8.01085	3.72624
1970-03-10 12:00:00	7.97267	3.71017
1970-03-11 00:00:00	7.94861	3.71109
1970-03-11 12:00:00	7.90783	3.69166
1970-03-12 00:00:00	7.87265	3.6906
1970-03-12 12:00:00	7.83572	3.67548
1970-03-13 00:00:00	7.80011	3.67112
1970-03-13 12:00:00	7.75269	3.6468
1970-03-14 00:00:00	7.72738	3.64345
1970-03-14 12:00:00	7.68513	3.62256
1970-03-15 00:00:00	7.65901	3.6154
1970-03-15 12:00:00	7.62253	3.60197
1970-03-16 00:00:00	7.59618	3.59955
1970-03-16 12:00:00	7.55159	3.58302
1970-03-17 00:00:00	7.53605	3.57709
1970-03-17 12:00:00	7.51431	3.56328
1970-03-18 00:00:00	7.53876	3.54558
1970-03-18 12:00:00	7.558	3.55089
1970-03-19 00:00:00	7.65768	3.5559
1970-03-19 12:00:00	7.65436	3.54844
1970-03-20 00:00:00	7.73418	3.57836
1970-03-20 12:00:00	7.71673	3.56822
1970-03-21 00:00:00	7.71331	3.5841
1970-03-21 12:00:00	7.68036	3.57175
1970-03-22 00:00:00	7.73908	3.57892
1970-03-22 12:00:00	7.7305	3.56981
1970-03-23 00:00:00	7.77743	3.58538
1970-03-23 12:00:00	7.76917	3.57461
1970-03-24 00:00:00	7.82003	3.59413
1970-03-24 12:00:00	7.80336	3.58441
1970-03-25 00:00:00	7.75461	3.58596
1970-03-25 12:00:00	7.72366	3.57417
1970-03-26 00:00:00	7.6659	3.56543
1970-03-26 12:00:00	7.63611	3.55268
1970-03-27 00:00:00	7.58528	3.54206
1970-03-27 12:00:00	7.55452	3.529
1970-03-28 00:00:00	7.57409	3.51438
1970-03-28 12:00:00	7.54506	3.49339
1970-03-29 00:00:00	7.56237	3.48174
1970-03-29 12:00:00	7.55222	3.47655
1970-03-30 00:00:00	7.53044	3.47109
1970-03-30 12:00:00	7.50346	3.45933
1970-03-31 00:00:00	7.48901	3.45214
1970-03-31 12:00:00	7.463	3.4406
1970-04-01 00:00:00	7.4751	3.44178
1970-04-01 12:00:00	7.46209	3.43231
1970-04-02 00:00:00	7.54007	3.44851
1970-04-02 12:00:00	7.54104	3.44287
1970-04-03 00:00:00	7.62089	3.46651
1970-04-03 12:00:00	7.61129	3.45755
1970-04-04 00:00:00	7.57839	3.4646
1970-04-04 12:00:00	7.55665	3.45565
1970-04-05 00:00:00	7.51566	3.45004
1970-04-05 12:00:00	7.49176	3.43971
1970-04-06 00:00:00	7.48349	3.43391
1970-04-06 12:00:00	7.47082	3.42565
1970-04-07 00:00:00	7.46415	3.42027
1970-04-07 12:00:00	7.44679	3.41078
1970-04-08 00:00:00	7.38599	3.39828
1970-04-08 12:00:00	7.35521	3.38317
1970-04-09 00:00:00	7.3393	3.37808
1970-04-09 12:00:00	7.31832	3.36835
1970-04-10 00:00:00	7.27228	3.35663
1970-04-10 12:00:00	7.24964	3.34643
1970-04-11 00:00:00	7.21138	3.33638
1970-04-11 12:00:00	7.21213	3.32782
1970-04-12 00:00:00	7.25262	3.32615
1970-04-12 12:00:00	7.2737	3.32305
1970-04-13 00:00:00	7.28225	3.31626
1970-04-13 12:00:00	7.28616	3.32313
1970-04-14 00:00:00	7.25531	3.31367
1970-04-14 12:00:00	7.23747	3.31113
1970-04-15 00:00:00	7.17981	3.29657
1970-04-15 12:00:00	7.18138	3.29722
1970-04-16 00:00:00	7.11288	3.27783
1970-04-16 12:00:00	7.09188	3.26945
1970-04-17 00:00:00	7.11315	3.26903
1970-04-17 12:00:00	7.09761	3.25623
1970-04-18 00:00:00	7.09764	3.25226
1970-04-18 12:00:00	7.07926	3.24247
1970-04-19 00:00:00	7.07525	3.24425
1970-04-19 12:00:00	7.05387	3.23608
1970-04-20 00:00:00	7.0616	3.24029
1970-04-20 12:00:00	7.04502	3.23077
1970-04-21 00:00:00	7.04627	3.23401
1970-04-21 12:00:00	7.02317	3.22574
1970-04-22 00:00:00	7.00898	3.21836
1970-04-22 12:00:00	7.01195	3.21133
1970-04-23 00:00:00	7.05616	3.20652
1970-04-23 12:00:00	7.11096	3.21564
1970-04-24 00:00:00	7.26485	3.2374
1970-04-24 12:00:00	7.33607	3.25248
1970-04-25 00:00:00	7.34271	3.27813
1970-04-25 12:00:00	7.36567	3.2879
1970-04-26 00:00:00	7.31383	3.28875
1970-04-26 12:00:00	7.29658	3.28288
1970-04-27 00:00:00	7.28919	3.28299
1970-04-27 12:00:00	7.26824	3.26437
1970-04-28 00:00:00	7.18102	3.24867
1970-04-28 12:00:00	7.16365	3.24557
1970-04-29 00:00:00	7.09037	3.22716
1970-04-29 12:00:00	7.06873	3.21964
1970-04-30 00:00:00	7.14416	3.21784
1970-04-30 12:00:00	7.14876	3.21211
1970-05-01 00:00:00	7.11997	3.21515
1970-05-01 12:00:00	7.10045	3.20863
1970-05-02 00:00:00	7.06165	3.20692
1970-05-02 12:00:00	7.03781	3.1975
1970-05-03 00:00:00	6.98061	3.18999
1970-05-03 12:00:00	6.95564	3.18026
1970-05-04 00:00:00	6.90265	3.16084
1970-05-04 12:00:00	6.87717	3.14885
1970-05-05 00:00:00	6.80017	3.12848
1970-05-05 12:00:00	6.77302	3.11784
1970-05-06 00:00:00	6.7034	3.09764
1970-05-06 12:00:00	6.67422	3.08638
1970-05-07 00:00:00	6.60619	3.06688
1970-05-07 12:00:00	6.56946	3.04996
1970-05-08 00:00:00	6.53117	3.03569
1970-05-08 12:00:00	6.50499	3.02624
1970-05-09 00:00:00	6.48127	3.01861
1970-05-09 12:00:00	6.45464	3.00931
1970-05-10 00:00:00	6.42963	3.00183
1970-05-10 12:00:00	6.40656	2.99295
1970-05-11 00:00:00	6.38291	2.98672
1970-05-11 12:00:00	6.35446	2.97503
1970-05-12 00:00:00	6.33846	2.97034
1970-05-12 12:00:00	6.31199	2.96115
1970-05-13 00:00:00	6.32067	2.96369
1970-05-13 12:00:00	6.29798	2.95443
1970-05-14 00:00:00	6.3038	2.95237
1970-05-14 12:00:00	6.28259	2.94327
1970-05-15 00:00:00	6.28214	2.94613
1970-05-15 12:00:00	6.25684	2.93642
1970-05-16 00:00:00	6.25311	2.94083
1970-05-16 12:00:00	6.22806	2.93132
1970-05-17 00:00:00	6.22812	2.93148
1970-05-17 12:00:00	6.20216	2.9202
1970-05-18 00:00:00	6.19965	2.92017
1970-05-18 12:00:00	6.18332	2.91482
1970-05-19 00:00:00	6.18926	2.9152
1970-05-19 12:00:00	6.16068	2.9056
1970-05-20 00:00:00	6.16244	2.90512
1970-05-20 12:00:00	6.14273	2.89632
1970-05-21 00:00:00	6.15513	2.8957
1970-05-21 12:00:00	6.14635	2.88353
1970-05-22 00:00:00	6.17353	2.8829
1970-05-22 12:00:00	6.19734	2.88406
1970-05-23 00:00:00	6.21175	2.88612
1970-05-23 12:00:00	6.21568	2.88798
1970-05-24 00:00:00	6.21209	2.89549
1970-05-24 12:00:00	6.20967	2.89697
1970-05-25 00:00:00	6.19302	2.89387
1970-05-25 12:00:00	6.1801	2.8932
1970-05-26 00:00:00	6.16057	2.88663
1970-05-26 12:00:00	6.15235	2.8876
1970-05-27 00:00:00	6.11124	2.87296
1970-05-27 12:00:00	6.12011	2.87632
1970-05-28 00:00:00	6.09958	2.87251
1970-05-28 12:00:00	6.08537	2.86741
1970-05-29 00:00:00	6.06331	2.86506
1970-05-29 12:00:00	6.04076	2.85545
1970-05-30 00:00:00	6.06005	2.85337
1970-05-30 12:00:00	6.05956	2.85193
1970-05-31 00:00:00	6.04017	2.84762
1970-05-31 12:00:00	6.01568	2.84154
1970-06-01 00:00:00	5.99702	2.835
1970-06-01 12:00:00	5.9825	2.83116
1970-06-02 00:00:00	5.95256	2.82452
1970-06-02 12:00:00	5.94451	2.82101
1970-06-03 00:00:00	5.91609	2.80076
1970-06-03 12:00:00	5.90572	2.80338
1970-06-04 00:00:00	5.87098	2.79588
1970-06-04 12:00:00	5.86299	2.79347
1970-06-05 00:00:00	5.823	2.7757
1970-06-05 12:00:00	5.82775	2.78222
1970-06-06 00:00:00	5.79169	2.77487
1970-06-06 12:00:00	5.76927	2.76696
1970-06-07 00:00:00	5.75714	2.76555
1970-06-07 12:00:00	5.73666	2.75881
1970-06-08 00:00:00	5.72696	2.75705
1970-06-08 12:00:00	5.70402	2.74854
1970-06-09 00:00:00	5.69397	2.74559
1970-06-09 12:00:00	5.66893	2.73599
1970-06-10 00:00:00	5.66648	2.73804
1970-06-10 12:00:00	5.64579	2.73111
1970-06-11 00:00:00	5.63754	2.72613
1970-06-11 12:00:00	5.6075	2.7171
1970-06-12 00:00:00	5.60266	2.71814
1970-06-12 12:00:00	5.58093	2.71028
1970-06-13 00:00:00	5.58489	2.71124
1970-06-13 12:00:00	5.56427	2.70322
1970-06-14 00:00:00	5.56082	2.70326
1970-06-14 12:00:00	5.54263	2.69607
1970-06-15 00:00:00	5.54505	2.69606
1970-06-15 12:00:00	5.52619	2.68933
1970-06-16 00:00:00	5.52225	2.68864
1970-06-16 12:00:00	5.50169	2.68024
1970-06-17 00:00:00	5.50532	2.68153
1970-06-17 12:00:00	5.48506	2.67392
1970-06-18 00:00:00	5.48455	2.67427
1970-06-18 12:00:00	5.46711	2.66703
1970-06-19 00:00:00	5.46387	2.66763
1970-06-19 12:00:00	5.44504	2.6606
1970-06-20 00:00:00	5.44379	2.66191
1970-06-20 12:00:00	5.42257	2.65457
1970-06-21 00:00:00	5.42048	2.65442
1970-06-21 12:00:00	5.4022	2.64724
1970-06-22 00:00:00	5.40368	2.64708
1970-06-22 12:00:00	5.38655	2.64072
1970-06-23 00:00:00	5.3925	2.64261
1970-06-23 12:00:00	5.37161	2.63052
1970-06-24 00:00:00	5.37207	2.6308
1970-06-24 12:00:00	5.35513	2.62482
1970-06-25 00:00:00	5.35565	2.62424
1970-06-25 12:00:00	5.35931	2.62687
1970-06-26 00:00:00	5.37004	2.62454
1970-06-26 12:00:00	5.38331	2.62384
1970-06-27 00:00:00	5.3817	2.62193
1970-06-27 12:00:00	5.37811	2.62163
1970-06-28 00:00:00	5.37309	2.62011
1970-06-28 12:00:00	5.36813	2.61839
1970-06-29 00:00:00	5.35581	2.61144
1970-06-29 12:00:00	5.3554	2.61482
1970-06-30 00:00:00	5.35171	2.60752
1970-06-30 12:00:00	5.35978	2.60992
1970-07-01 00:00:00	5.3918	2.60899
1970-07-01 12:00:00	5.42337	2.61087
1970-07-02 00:00:00	5.43938	2.61332
1970-07-02 12:00:00	5.44688	2.61612
1970-07-03 00:00:00	5.45775	2.62207
1970-07-03 12:00:00	5.46181	2.62577
1970-07-04 00:00:00	5.47901	2.63038
1970-07-04 12:00:00	5.47626	2.63494
1970-07-05 00:00:00	5.45808	2.63199
1970-07-05 12:00:00	5.45734	2.63842
1970-07-06 00:00:00	5.44719	2.63763
1970-07-06 12:00:00	5.44546	2.64094
