0.000, 0.007	0.000, -0.720
0.250, 0.048	0.250, -0.700
0.500, 0.181	0.500, -0.653
0.750, 0.323	0.750, -0.596
1.000, 0.430	1.000, -0.531
1.250, 0.516	1.250, -0.445
1.500, 0.600	1.500, -0.335
1.750, 0.677	1.750, -0.210
2.000, 0.719	2.000, -0.086
2.250, 0.714	2.250, 0.033
2.500, 0.679	2.500, 0.152
2.750, 0.627	2.750, 0.270
3.000, 0.559	3.000, 0.378
3.250, 0.482	3.250, 0.476
3.500, 0.407	3.500, 0.565
3.750, 0.340	3.750, 0.645
4.000, 0.280	4.000, 0.712
4.250, 0.230	4.250, 0.770
4.500, 0.194	4.500, 0.822
4.750, 0.169	4.750, 0.867
5.000, 0.137	5.000, 0.900
5.250, 0.096	5.250, 0.924
5.500, 0.058	5.500, 0.944
5.750, 0.032	5.750, 0.957
6.000, 0.011	6.000, 0.963
6.250, 0.022	6.250, 0.956
6.500, 0.082	6.500, 0.933
6.750, 0.155	6.750, 0.896
7.000, 0.210	7.000, 0.851
7.250, 0.246	7.250, 0.796
7.500, 0.286	7.500, 0.725
7.750, 0.338	7.750, 0.641
8.000, 0.381	8.000, 0.555
8.250, 0.402	8.250, 0.470
8.500, 0.412	8.500, 0.383
8.750, 0.422	8.750, 0.292
9.000, 0.440	9.000, 0.199
9.250, 0.470	9.250, 0.101
9.500, 0.513	9.500, -0.006
9.750, 0.553	9.750, -0.114
10.000, 0.569	10.000, -0.213
10.250, 0.557	10.250, -0.303
10.500, 0.535	10.500, -0.387
10.750, 0.508	10.750, -0.465
11.000, 0.461	11.000, -0.527
11.250, 0.396	11.250, -0.574
11.500, 0.331	11.500, -0.614
11.750, 0.269	11.750, -0.648
12.000, 0.191	12.000, -0.666
12.250, 0.074	12.250, -0.661
12.500, 0.102	12.500, -0.631
12.750, 0.284	12.750, -0.583
13.000, 0.409	13.000, -0.526
13.250, 0.478	13.250, -0.454
13.500, 0.537	13.500, -0.360
13.750, 0.599	13.750, -0.249
14.000, 0.644	14.000, -0.134
14.250, 0.666	14.250, -0.018
14.500, 0.676	14.500, 0.108
14.750, 0.673	14.750, 0.238
15.000, 0.643	15.000, 0.361
15.250, 0.584	15.250, 0.474
15.500, 0.511	15.500, 0.582
15.750, 0.435	15.750, 0.680
16.000, 0.363	16.000, 0.766
16.250, 0.303	16.250, 0.842
16.500, 0.265	16.500, 0.914
16.750, 0.237	16.750, 0.976
17.000, 0.190	17.000, 1.020
17.250, 0.118	17.250, 1.049
17.500, 0.048	17.500, 1.068
17.750, 0.002	17.750, 1.080
18.000, 0.018	18.000, 1.082
18.250, 0.028	18.250, 1.077
18.500, 0.043	18.500, 1.066
18.750, 0.068	18.750, 1.048
19.000, 0.096	19.000, 1.026
19.250, 0.132	19.250, 0.992
19.500, 0.192	19.500, 0.939
19.750, 0.269	19.750, 0.870
20.000, 0.328	20.000, 0.795
20.250, 0.359	20.250, 0.716
20.500, 0.375	20.500, 0.629
20.750, 0.397	20.750, 0.536
21.000, 0.427	21.000, 0.439
21.250, 0.471	21.250, 0.332
21.500, 0.534	21.500, 0.211
21.750, 0.593	21.750, 0.086
22.000, 0.621	22.000, -0.031
22.250, 0.610	22.250, -0.134
22.500, 0.582	22.500, -0.230
22.750, 0.550	22.750, -0.319
23.000, 0.516	23.000, -0.399
23.250, 0.489	23.250, -0.475
23.500, 0.479	23.500, -0.551
23.750, 0.463	23.750, -0.619
24.000, 0.397	24.000, -0.658
24.250, 0.266	24.250, -0.666
24.500, 0.101	24.500, -0.659
24.750, 0.070	24.750, -0.647
25.000, 0.206	25.000, -0.625
25.250, 0.293	25.250, -0.586
25.500, 0.367	25.500, -0.523
25.750, 0.446	25.750, -0.441
26.000, 0.509	26.000, -0.355
26.250, 0.547	26.250, -0.265
26.500, 0.577	26.500, -0.163
26.750, 0.600	26.750, -0.052
27.000, 0.607	27.000, 0.058
27.250, 0.603	27.250, 0.172
27.500, 0.599	27.500, 0.292
27.750, 0.580	27.750, 0.410
28.000, 0.518	28.000, 0.508
28.250, 0.406	28.250, 0.584
28.500, 0.273	28.500, 0.644
28.750, 0.157	28.750, 0.690
29.000, 0.084	29.000, 0.724
29.250, 0.070	29.250, 0.755
29.500, 0.105	29.500, 0.789
29.750, 0.142	29.750, 0.820
30.000, 0.133	30.000, 0.841
30.250, 0.068	30.250, 0.849
30.500, 0.016	30.500, 0.850
30.750, 0.070	30.750, 0.846
31.000, 0.076	31.000, 0.840
31.250, 0.056	31.250, 0.829
31.500, 0.061	31.500, 0.807
31.750, 0.108	31.750, 0.773
32.000, 0.172	32.000, 0.732
32.250, 0.235	32.250, 0.680
32.500, 0.301	32.500, 0.608
32.750, 0.364	32.750, 0.523
33.000, 0.406	33.000, 0.436
33.250, 0.422	33.250, 0.350
33.500, 0.430	33.500, 0.261
33.750, 0.441	33.750, 0.169
34.000, 0.453	34.000, 0.079
34.250, 0.466	34.250, -0.012
34.500, 0.485	34.500, -0.105
34.750, 0.500	34.750, -0.197
35.000, 0.498	35.000, -0.280
35.250, 0.482	35.250, -0.356
